year,t,sd
1990,12013.17264,1343.92722
1984,19715.32184,1887.671943
1999,30924.18067,4048.249655
1993,42270.35363,5380.916488
2017,50612.32073,5511.47766
2009,46469.9117,5714.934328
2015,51261.10058,5724.73236
2001,45078.4366,6051.596118
1996,49080.81441,6183.758139
2011,44146.24208,6198.129355
2003,61390.22098,7089.875763
1987,63751.52267,8181.819944
2013,68763.51244,8216.650867
2007,61701.8568,9558.750945
2019,95410.77135,11581.07258
2005,117730.6878,18251.34139
2021,161620.9979,49161.02566
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
