"","obs","pred"
"1",388,877.674
"2",162,510.93
"3",224,592.875
"4",597,1010.04
"5",845,1208.81
"6",852,1177.78
"7",1017,1283.5
"8",540,865.865
"9",34,197.435
"10",17,145.887
"11",19,164.542
"12",1067,1280.95
"13",1707,1643.56
"14",1612,1533.78
"15",2035,1717.75
"16",3443,3296
"17",3119,2969.99
"18",2913,2800.99
"19",2836,2751.07
"20",2275,2266.07
"21",2464,2458.38
"22",3107,3082.25
"23",4535,4450.13
"24",3699,3652.56
"25",2997,2920.58
"26",3301,3210
"27",3020,2942.59
"28",2557,2521.73
"29",2209,2207
"30",2437,2431.2
"31",3373,3332.52
"32",3620,3574.15
"33",3069,3068.52
"34",3132,3120.91
"35",2531,2541.46
"36",4010,3951.76
"37",3158,3164.55
"38",3062,3060.2
"39",2781,2765.35
"40",3327,3270
"41",2622,2590.51
"42",2913,2848.32
"43",2491,2463.86
"44",2298,2278.22
