"sigr","q_srv1","q_srv2","F40","natmort","spawn_biom_proj","ABC","obj_fun","tot_biom_1977","tot_biom_1978","tot_biom_1979","tot_biom_1980","tot_biom_1981","tot_biom_1982","tot_biom_1983","tot_biom_1984","tot_biom_1985","tot_biom_1986","tot_biom_1987","tot_biom_1988","tot_biom_1989","tot_biom_1990","tot_biom_1991","tot_biom_1992","tot_biom_1993","tot_biom_1994","tot_biom_1995","tot_biom_1996","tot_biom_1997","tot_biom_1998","tot_biom_1999","tot_biom_2000","tot_biom_2001","tot_biom_2002","tot_biom_2003","tot_biom_2004","tot_biom_2005","tot_biom_2006","tot_biom_2007","tot_biom_2008","tot_biom_2009","tot_biom_2010","tot_biom_2011","tot_biom_2012","tot_biom_2013","tot_biom_2014","tot_biom_2015","tot_biom_2016","tot_biom_2017","tot_biom_2018","tot_biom_2019","tot_biom_2020","log_rec_dev_1948","log_rec_dev_1949","log_rec_dev_1950","log_rec_dev_1951","log_rec_dev_1952","log_rec_dev_1953","log_rec_dev_1954","log_rec_dev_1955","log_rec_dev_1956","log_rec_dev_1957","log_rec_dev_1958","log_rec_dev_1959","log_rec_dev_1960","log_rec_dev_1961","log_rec_dev_1962","log_rec_dev_1963","log_rec_dev_1964","log_rec_dev_1965","log_rec_dev_1966","log_rec_dev_1967","log_rec_dev_1968","log_rec_dev_1969","log_rec_dev_1970","log_rec_dev_1971","log_rec_dev_1972","log_rec_dev_1973","log_rec_dev_1974","log_rec_dev_1975","log_rec_dev_1976","log_rec_dev_1977","log_rec_dev_1978","log_rec_dev_1979","log_rec_dev_1980","log_rec_dev_1981","log_rec_dev_1982","log_rec_dev_1983","log_rec_dev_1984","log_rec_dev_1985","log_rec_dev_1986","log_rec_dev_1987","log_rec_dev_1988","log_rec_dev_1989","log_rec_dev_1990","log_rec_dev_1991","log_rec_dev_1992","log_rec_dev_1993","log_rec_dev_1994","log_rec_dev_1995","log_rec_dev_1996","log_rec_dev_1997","log_rec_dev_1998","log_rec_dev_1999","log_rec_dev_2000","log_rec_dev_2001","log_rec_dev_2002","log_rec_dev_2003","log_rec_dev_2004","log_rec_dev_2005","log_rec_dev_2006","log_rec_dev_2007","log_rec_dev_2008","log_rec_dev_2009","log_rec_dev_2010","log_rec_dev_2011","log_rec_dev_2012","log_rec_dev_2013","log_rec_dev_2014","log_rec_dev_2015","log_rec_dev_2016","log_rec_dev_2017","log_rec_dev_2018","log_rec_dev_2019","log_rec_dev_2020","spawn_biom_1977","spawn_biom_1978","spawn_biom_1979","spawn_biom_1980","spawn_biom_1981","spawn_biom_1982","spawn_biom_1983","spawn_biom_1984","spawn_biom_1985","spawn_biom_1986","spawn_biom_1987","spawn_biom_1988","spawn_biom_1989","spawn_biom_1990","spawn_biom_1991","spawn_biom_1992","spawn_biom_1993","spawn_biom_1994","spawn_biom_1995","spawn_biom_1996","spawn_biom_1997","spawn_biom_1998","spawn_biom_1999","spawn_biom_2000","spawn_biom_2001","spawn_biom_2002","spawn_biom_2003","spawn_biom_2004","spawn_biom_2005","spawn_biom_2006","spawn_biom_2007","spawn_biom_2008","spawn_biom_2009","spawn_biom_2010","spawn_biom_2011","spawn_biom_2012","spawn_biom_2013","spawn_biom_2014","spawn_biom_2015","spawn_biom_2016","spawn_biom_2017","spawn_biom_2018","spawn_biom_2019","spawn_biom_2020","log_mean_rec","spawn_biom_proj_2021","spawn_biom_proj_2022","spawn_biom_proj_2023","spawn_biom_proj_2024","spawn_biom_proj_2025","spawn_biom_proj_2026","spawn_biom_proj_2027","spawn_biom_proj_2028","spawn_biom_proj_2029","spawn_biom_proj_2030","spawn_biom_proj_2031","spawn_biom_proj_2032","spawn_biom_proj_2033","spawn_biom_proj_2034","spawn_biom_proj_2035","pred_catch_proj_2021","pred_catch_proj_2022","pred_catch_proj_2023","pred_catch_proj_2024","pred_catch_proj_2025","pred_catch_proj_2026","pred_catch_proj_2027","pred_catch_proj_2028","pred_catch_proj_2029","pred_catch_proj_2030","pred_catch_proj_2031","pred_catch_proj_2032","pred_catch_proj_2033","pred_catch_proj_2034","pred_catch_proj_2035","rec_proj_2021","rec_proj_2022","rec_proj_2023","rec_proj_2024","rec_proj_2025","rec_proj_2026","rec_proj_2027","rec_proj_2028","rec_proj_2029","rec_proj_2030","tot_biom_proj_2020"
1.62336,0.656058,1,0.0660348,0.07,39487,5407.21,570.35,18383.1,17978.6,17937.9,19760.5,21570.9,23369.6,25085.7,27509.6,29616.7,33485.4,36002.5,39612.6,42043.5,47509,52644.1,58377.4,60612.1,63670.9,65671,70398.3,72785.9,76556.3,81522.8,82580.2,86382.5,90609.2,93571.1,96106,99093.3,100997,102663,102539,100795,100162,100915,102073,101738,106135,108193,109083,108155,107651,105814,103677,-1.32765,-1.90518,-2.50149,-2.26557,-0.663812,0.638039,-2.13911,-3.06931,-2.10302,-1.21951,-2.89327,-0.187194,-1.35544,-2.34912,-0.736816,-0.691429,-1.09458,-0.599327,-2.47794,-1.98349,-2.06842,-2.27702,0.238816,-1.52704,-2.37786,-1.29083,-0.439932,-0.236904,-0.480178,-0.562928,-1.15079,0.145378,1.83639,0.595428,0.583145,-0.0887593,1.72863,-1.29546,1.52547,-2.53771,1.47388,1.07804,2.40237,1.57743,1.77141,-1.29009,1.73213,0.569744,2.32767,-2.09911,1.94664,2.24911,0.505012,1.98896,2.02602,1.49186,1.25505,1.50849,0.668541,0.909466,1.16192,0.682931,1.55903,1.97189,1.62729,1.64691,2.66218,0.376344,-1.42846,-0.938791,1.25065,-0.844966,-0.52435,7541.99,7282.05,7062.51,6720.63,6654.2,6555.57,6647.98,6469.67,7024.37,8127.86,9482.13,10940.9,11991.8,12928.6,14007.3,15054.6,15452.6,15939.5,16991.3,18567.2,20644.4,22575.5,24129.8,24585.8,25510.4,26506.3,27475.4,28732.1,30441.7,32393.6,34544.4,35986.1,36863.1,37607.4,38013.7,38202.8,37205.4,36449.1,36019.2,35952.2,36067.2,36869.3,38158.1,39789.4,0.674229,39487,39435.3,38461,36977.8,35306.5,33670,32214.8,30996.2,30011.7,29360.9,28994.5,28878.9,29041.8,29909.7,31982.7,5407.21,5347.63,5111.01,4839.89,4582.26,4338.32,4150.16,4007.53,3810.25,3642.52,3596.24,3571.32,3512.35,3564.65,3806.73,11.1274,1.54974,1.37185,9.45443,12.9832,0.225572,2.84718,1.61796,4.39591,65.8902,102801
1.6807,0.671859,1,0.104031,0.07,48902.6,9807.84,575.754,19167.5,18550.7,19158.9,20489.2,21907.6,23435.9,24406,25999,28213.9,30918.1,33165.7,36771.1,39762.7,45190.9,51013.9,57756.9,60105.2,64678.8,67489.8,72855.1,76113.6,79619.1,84549.8,85727,89897.9,94300,97916.9,101158,104238,106194,107220,107014,106118,106082,107444,109961,110871,119010,122519,127098,127995,128481,127344,124670,-0.381641,1.68457,-1.30399,0.568905,-0.293342,-2.15377,-0.817027,-0.429869,-1.77094,0.576835,-1.63279,-0.264807,-4.03723,-0.864858,-2.35705,0.179627,-1.03246,-1.12056,-2.90243,-0.563033,-0.456969,-3.6625,-2.84448,1.26791,-0.219928,-3.50724,-0.393307,0.726883,0.330614,-1.04467,-1.71498,1.27133,1.6817,1.43645,1.34215,-1.74947,1.84737,0.659048,1.37171,0.609304,2.13902,1.61743,2.86731,2.24926,2.32707,-0.432552,2.30259,0.796807,2.79495,0.383372,2.23453,2.80536,0.804907,2.64181,2.26075,1.88966,1.81688,1.91324,1.09582,1.49804,1.8294,1.69165,1.96512,2.81385,2.11096,2.09121,3.48783,-0.52,2.0058,-1.62758,0.517968,-3.90358,-1.49665,7394.43,7200.88,7253.3,7259.45,7173.4,7037.12,7019.33,6869.3,7543.91,8565.82,9780.12,11027.7,12054,12642.2,13492.1,14517.2,14665.8,15694.1,17332.1,19488.4,22121.5,24304,25897.1,26552,27514,28859.3,30323.7,32038.9,34019.2,36198.1,38145.7,39408.7,40208,40878.9,40612.1,40848.9,40064.4,39804.5,39834.8,40701,41617.9,43567.9,46046.1,48545.2,0.218233,48902.6,47557.5,45412.7,42527.3,39420.5,36568,34307.4,32714.3,31714.6,31197.4,31040.8,31086.4,31181.6,31176.1,30903.5,9807.84,9751.17,9296.96,8618.56,7863,7154.82,6616.7,6291.43,6090.02,5982.93,5977.41,6009.11,6078.16,6172,6138.11,10.6836,6.3724,5.16117,11.9889,10.2476,2.92427,21.2741,3.07823,6.11174,6.40442,123322
1.5495,0.688763,1,0.0691633,0.07,42135.2,5999.29,559.97,21605.5,21242.3,21496,23350.5,24590.5,26284.6,27019,29905,32505.3,35092.4,37520.3,41415.3,43552.8,48119.4,53214.2,59820.9,61984.9,64629.8,67420.8,71828.8,74846.5,78049.9,82841.1,84302.9,86504.4,91317.4,94377.2,98772.9,102457,105588,106731,106904,106103,105279,105434,105872,106338,112343,114569,116477,116246,115449,113105,110105,-2.32321,-0.832895,-1.32209,-0.665753,-0.248085,-0.0729835,-1.65322,-1.53375,-2.57861,0.434446,-0.355274,-2.57509,-2.12851,-0.467766,-0.758752,-2.38897,-1.56115,-0.83448,-0.774953,-1.24021,-0.784571,-2.76941,-0.516533,-0.10075,-0.641541,0.147293,-1.89512,0.0306182,-1.88135,0.55347,-3.99415,0.412392,1.82078,0.651295,0.747397,0.141821,1.8462,-0.866332,-0.0129597,0.52,1.78053,1.4063,2.24028,1.64429,1.99552,-0.81344,1.36871,1.28959,2.14591,0.390618,1.6515,2.29104,0.939894,1.71126,2.18346,1.22177,1.78488,1.63846,1.09706,-0.253952,1.42471,0.970366,1.30811,1.86039,1.39417,1.9235,2.84306,0.237966,0.315473,-1.47058,-0.274086,-0.354211,-1.92252,8418.29,8237.3,8178.18,7942.07,7648.43,7481.01,7085.14,7010.2,7727.55,8877.84,10284.4,11818,12575.2,13259.5,14204.5,15232.8,15275.8,15729.6,17013,18848.5,21225.3,23342,25015.2,25637.1,26128.2,27254.5,28385.1,30052.9,31726.2,33757.8,35640.5,36967.8,38132.2,39068.4,39662.5,40136.3,39663.8,39299.8,38717.5,38589,38597.8,39436.8,40656.7,42446.9,0.667928,42135.2,42347.1,41178.9,39244.8,36983.8,34796.8,32969,31636.1,30683.3,29940.6,29360.9,29050.4,29201,29879.8,30886.6,5999.29,5990.61,5741.31,5380.87,4998.71,4646.64,4377.82,4232.96,4129.88,3944.28,3759.76,3625.2,3640.92,3869.14,4215.31,4.69435,13.4247,2.67179,7.20685,0.573465,5.05735,6.21248,24.8372,1.52191,11.9821,107190
1.62202,0.742102,1,0.0968281,0.07,33824,6624.67,565.468,16084.9,16165.2,16601.8,18356.7,19351.1,21374.4,23049.6,26368.1,28711.1,31871.2,34222.6,37549.1,40203.1,44507.6,50028.8,55027.7,56686.5,59858.9,62482.5,66979.4,69906.7,73234.9,77523.7,78587.7,81039.9,85308.7,87893.3,90202.6,92670.1,94280.5,94563.5,94052.1,92968.9,92617.7,93315.6,93367.7,94012.7,95781.4,95940.8,96394.7,94261.7,92459.8,89917.4,88206.9,-2.27507,-0.102972,-1.26187,-0.929193,-0.226284,0.74086,-2.33879,-0.376048,-1.41498,-4.73088,-0.988788,-1.5635,-0.707614,0.158682,-2.18364,-0.664715,-1.79699,-1.20865,-1.72186,-2.10069,-1.88223,-0.524656,-2.29074,0.513861,-1.75365,0.160144,0.383398,-3.35343,0.59607,1.18661,-1.97053,-0.0211289,1.87134,0.930347,1.62232,-0.0415986,2.20454,0.0248161,1.24183,-0.624417,1.87095,1.80064,2.43255,2.46162,1.97732,0.514522,2.14667,1.02741,2.61246,0.636599,2.06439,2.72244,0.270078,2.02962,2.5014,1.7497,1.46942,1.82552,1.24652,0.020356,1.78299,1.58513,1.7264,2.49133,1.51405,2.43443,2.06508,1.06965,-1.27872,-0.794496,1.06169,-0.412118,1.89504,5738.21,5576.53,5597.67,5636.6,5510.69,5566.07,5854.56,6165.44,6726.74,7715.38,8924.93,10276,11325.4,12359.5,13386.9,14205.1,14111.8,14429.2,15513.1,16967.2,18996.2,20947.6,22291.9,23039.2,23935,25156.2,26199.5,27533.5,29074.8,30723.4,32306.2,33262.2,33934.6,34610.5,34607.8,34382.4,33400,32916,32322.6,32772.6,32833.8,33453.4,34277.4,34874.1,0.260698,33824,32300.5,30558.6,28664.5,26862.4,25289.2,23956.4,22858.8,22037.9,21584.3,21624.7,22139.3,23052.6,24279.8,25587.8,6624.67,6308.07,5859.51,5404.6,5017.93,4726.61,4509.39,4292.46,4078.22,3888.4,3899.44,4069.94,4252.26,4538.63,4972.71,3.53242,1.62024,3.00368,4.85114,10.3754,9.66815,2.49163,17.2429,23.1042,3.36533,86068.4
1.78269,0.774329,1,0.0871779,0.07,33939.7,6193.97,568.838,15763,15955.4,15882.4,17610.3,19441.6,21135.8,22187,24958.2,26564.4,28965.2,31036.1,34210,35603.7,39057,43301.4,48827,50959.1,53317.6,55456.3,59784.7,62689.7,65913.2,69813.5,70428.4,72750.3,76196.1,78773.8,81199.1,83385.6,85186.3,86125.7,85300.2,84624.2,83454.1,82709.8,85158.9,84998.6,91159.4,93385.9,95614.6,96347.8,96098,94280.3,91922,-1.78091,-1.10965,-2.1244,-0.0733192,-1.19833,0.130439,-2.26033,0.495162,-2.86074,-2.56214,-3.17866,-4.36909,-2.63637,-0.650849,-0.408605,-2.00888,-1.55274,-2.92069,-0.673717,-0.790993,-0.689675,-2.34938,-0.980109,-1.79787,0.260233,-3.47086,0.425139,-2.449,-0.214903,-1.16352,0.819801,-0.150418,1.74489,1.21723,0.447083,-2.72291,1.85781,-0.941096,0.841656,0.292647,1.75725,0.935205,2.25822,1.80489,2.14833,-0.794031,1.47995,1.52342,2.28924,0.296035,1.8955,2.31066,-0.388708,2.14333,1.86062,1.49051,1.47618,1.65717,0.79961,1.10607,0.857238,1.25674,1.1666,1.58229,2.48812,1.18984,3.0749,-0.0043884,0.687322,-1.37579,-3.46049,-1.21882,-0.0693667,6256.45,6040.67,5808.54,5723.03,5669.11,5698.98,5773.17,6057.06,6561.3,7517.46,8651.35,9831.11,10446.3,10944.2,11731.9,12571,12819.1,13197.1,13872.6,15182.4,16938.6,18525.6,19783.6,20406.7,20987.7,22184.1,23335.7,24633.8,25899.4,27492.4,28850,29624.4,30352.8,30761.1,30927,31161,30560,30134,29566.4,29509.5,29888,30968.9,32313.9,33937.9,0.459325,33939.7,33926.5,33088,31717.5,30253.5,29108.2,28603.3,28824.7,29533.4,30239.1,30488.7,30157,29318.2,28285.8,27373.6,6193.97,6207.24,5928.65,5507.87,5063.84,4697.29,4517.96,4633.91,5029.49,5428.82,5547.52,5410.14,5139.56,4823.99,4517.35,5.83951,15.3793,31.7613,1.78525,6.28625,0.772996,3.72707,1.36696,0.671271,3.76359,90033.8
1.74023,0.675885,1,0.101378,0.07,43774.3,8678.38,578.671,16887.2,17354.6,17790.2,20271.1,22426.2,23724.6,25825.9,28958.5,31679.7,34559.4,36657,40522.1,42324.5,45948.8,51141.2,56415,58710.4,61940.9,63803,68806.1,71272.1,74810.6,79638.4,80844.1,83607,88331.9,91504.5,95048.2,98626.4,101773,102827,102665,102834,103608,104344,107884,108406,114302,117271,118963,119677,119367,117033,114428,-3.30788,-0.683699,-2.84532,1.66328,-0.821826,0.337787,-2.0931,-3.94447,-0.0861566,-0.112423,-3.0797,-3.40587,-2.81881,-3.70005,-2.98022,-0.805296,-1.23061,-1.33925,-2.68784,-1.71319,-2.41958,-0.387791,-1.5379,-1.76985,1.26555,-0.895078,-0.974178,-0.0039875,1.11326,-0.929673,0.697091,0.265952,2.22128,1.53569,-0.424552,1.18698,2.02704,0.0786806,1.07035,-0.651267,2.25212,1.62612,2.66837,1.97438,1.8667,1.08576,2.00391,0.87339,2.80763,0.793158,2.16234,2.61775,1.2307,2.19928,2.52032,1.84148,1.98008,1.88696,1.63381,0.827416,1.86053,1.71762,2.39446,1.93813,2.67733,1.23377,3.2194,0.486278,-0.282033,1.08554,0.268588,-3.57822,1.21847,5988.45,5945.86,5991.37,6084.86,6097.98,6079.42,6373.11,6803.39,7756.75,8987.16,10401.4,11869.6,12565.5,12831.8,13896.9,14980.9,15269.6,16021.7,17152,18724.6,20375.1,22011.7,23400.3,23829.2,24577,25895.5,27149.7,28753.5,30658.4,32753.5,34483.2,35514.5,36716.8,37405.8,37933.4,38509.6,38287.3,38184.3,38549,39250.2,40261.9,41812.7,43288.8,44668.2,0.257335,43774.3,42379.6,40341,37851.1,35233,32781.1,30692,29037.5,27800.7,26906.1,26239.4,25676.3,25120.7,24490.9,23844.3,8678.38,8505.03,8064.86,7488.54,6882.68,6319.74,5856.5,5514.33,5276.36,5116.83,5021.25,4953.12,4860.04,4641.67,4377.08,3.44829,9.04936,1.28102,11.6324,5.18806,5.66226,10.1482,1.66376,2.46257,5.41885,111243
1.62278,0.597695,1,0.144089,0.07,48299.4,13133.2,572.318,25771.1,25346,24943.7,26564.2,27835.9,29593.7,30710.3,33060.4,35223.6,37193.5,39829.2,43106.4,44834.4,47721.7,54106.5,60384,63946.8,67378,70739.2,76061.3,79448.2,82765.2,88380.2,89534.1,92894.6,98831.4,102531,106864,110899,113861,114684,114636,113086,113538,114889,116201,116123,120300,122554,124444,124684,124856,125096,131372,-2.77045,0.389595,-1.05393,-2.41929,-0.305667,-0.204015,-0.286666,-1.51419,0.987988,-2.43368,-1.95381,-1.87939,-0.484277,-1.58611,-1.18136,-0.393566,0.0887948,-1.99272,-0.882917,-3.22769,-0.341674,-1.35838,-2.02798,-0.571183,0.147214,-2.56843,-1.20478,-0.253574,0.532844,-2.48884,0.349408,-2.49602,1.5527,0.762034,0.988075,-1.09591,1.65517,-0.362017,-1.77233,1.06295,1.35475,1.16858,2.09045,1.97013,1.7443,0.361502,1.42169,1.16326,2.10087,0.481556,1.30351,2.48725,0.315972,1.9073,1.98143,1.1331,1.56804,1.71206,0.860964,0.142546,1.09513,0.87133,1.79237,1.88613,1.54566,1.59731,2.44817,1.33881,0.121856,0.656929,-0.305796,1.68559,2.86939,10777.6,10273.1,10001.4,9821.02,9615.21,9478.84,9479.66,9348.19,9940.3,11038,12383.5,13840.1,14502.2,14498.7,15535,16310.6,16681.9,17293.4,18827.9,21082.4,23734.8,26197.7,27763.4,28244.5,28952.8,30703.5,32236,34237,36347.7,38777.2,40793.7,42359.2,43292.1,44263.4,44862.6,45023.6,43953.3,43279,42709.1,43178.8,43794.4,45522.3,47134.3,48959.7,0.786293,48299.4,45358.1,42717.7,40642,39759.8,39956.9,40349.4,40218.5,39837.9,40054.1,41447.5,43583.5,45477.2,46579.9,46766,13133.2,12464.2,11524.8,10655.6,10227.4,10457.1,10907.3,10930.2,10558,10250.1,10548.1,11420.1,12190.3,12565.8,12752.9,10.4376,6.99389,3.96387,1.68182,39.6908,25.1671,17.4478,6.12132,35.6134,1.28426,135380
1.41264,0.731336,1,0.0826309,0.07,35314.7,5895.51,561.816,17584.5,17640.9,17947.8,19452.5,21105.8,22058,23412.4,26371.2,28223.3,30651.8,32504,35469.4,37292.5,42526.3,47861.2,54129.3,56484.7,59668.6,62111.2,67159.9,70032.5,73502.9,78994,79872.5,83703.1,88056.3,91139.9,94242.1,96529.5,98542,98587.6,97196.7,93864.5,93027.6,93363.4,94825.7,95009.2,96685.8,98916.8,99722.8,98850.9,97648.9,95421.8,97745.5,-1.27278,-0.490193,-3.02656,-3.5946,-1.57267,-1.44425,-0.975647,-0.297209,-2.26352,-1.26991,-0.436202,-1.74631,-1.21394,-1.31686,-3.59117,-3.08696,-3.3008,-0.576596,0.54191,-0.393622,-1.05093,-2.23634,-0.605463,-0.75581,-0.385244,-1.18193,-0.851051,0.243206,-0.72232,0.930517,0.146637,-0.208888,1.46549,1.21145,0.0260903,0.196375,1.93102,-1.85098,0.781342,-0.274812,1.66963,0.935856,2.64085,1.83638,2.01262,-0.482189,1.84492,0.805032,2.58391,-0.0450599,1.7041,2.58039,-0.192759,2.26441,2.06854,1.34682,1.71217,1.01928,1.01493,0.688122,1.30228,0.657533,1.66578,2.2249,1.96572,1.46065,2.22242,1.83842,0.716999,-0.32767,-0.269333,-0.619839,2.78736,6848.96,6545.77,6400.21,6330.16,6275.13,6186.05,6449.87,6814.71,7442.85,8377.75,9447.58,10586.9,11436.4,12127.6,13055.7,13995.4,14070.6,14414.7,15549.7,17121.3,19237.4,21348.8,23047.1,23673.4,24675.6,26015.1,27429.5,28975.8,30800,32913.9,34544.9,35445.3,35541.9,36056.3,35954.8,35824.4,34989.1,34042.5,33613.4,33469.4,33555.1,34335.8,35284.6,36261.1,0.494404,35314.7,35337.5,34452.5,33388,32496.4,31970.7,31685,31420.6,31054.3,30601.5,30127.7,29798.5,29841.3,30347.3,31115.6,5895.51,5830.43,5614.3,5331.26,5117.15,5073.92,5119.16,5096.78,5028.35,4956.21,4840.59,4701.85,4659.93,4800.32,5024.41,1.93317,1.48489,12.3714,7.27085,1.02825,2.30099,6.0678,26.1963,5.9796,4.96779,98012.9
2.05002,0.754689,1,0.116341,0.07,36882.2,8598.9,582.699,14888.2,15202.9,15702.6,17410.8,19091.6,22191.6,23406.9,26791.1,29445.5,32316.2,34299.3,37336.5,39303.4,44057.8,49119.9,55076.5,57294.1,60646.2,62940.3,67737.3,70905.2,73592.2,78486,79520.3,82458.8,86516.1,89613.4,92917.2,95443.9,97323.2,97816.9,98111.1,96861.2,96270.3,96075.5,97558.9,97160.6,99284.5,100352,101486,100288,99205.6,96774.1,94069.1,0.187162,-1.44149,-1.38064,-2.74371,-1.16459,-1.62588,-2.6016,1.82961,-2.13094,-4.31178,-1.30618,-2.7309,-4.1072,-1.98557,-2.57666,-0.241061,-2.28832,-2.23025,-2.11492,-4.47819,-0.00571525,-0.0826862,-3.926,0.00711036,-0.401635,-0.162629,0.197418,0.16937,-0.870656,0.828195,0.480928,0.349737,2.05454,1.2857,2.0958,-3.72741,2.15312,-0.292928,0.996095,-1.32982,1.94224,1.69028,2.86973,2.2921,2.42862,-1.30621,2.10447,1.66308,2.6174,1.36585,1.71539,2.97242,-0.114379,2.27432,2.52103,1.86483,2.06022,1.94755,0.957569,0.941199,2.09499,1.60526,1.82446,2.52163,2.1498,2.06363,2.7519,0.0520306,1.63779,0.135357,-3.10305,0.191293,-0.705496,5661.83,5583.19,5608.92,5524.66,5534.4,5672.58,5590.42,5961.52,6802.02,8025.46,9467.28,11062.3,12199.1,13090.5,13968.4,14718.1,14730.4,15194.4,16066.2,17916.7,20078,22107.1,23594.9,24358.5,25360.5,26575.1,27876.7,29384.2,30820.4,32611.2,34141.2,35255.9,35796.8,36331.2,36041.2,36220.5,35242.8,34492.3,34501.7,34822,35037.2,36119.1,37011.3,38020.3,0.151735,36882.2,34816.2,32541.6,30013.5,27487.9,25199.6,23294.6,21782.8,20566.6,19573.8,18952.2,18817.7,19341.6,20516.8,22286.6,8598.9,8146.09,7538.99,6849.37,6165.31,5568.7,5128.64,4867.67,4655.28,4180.43,3818.29,3638.75,3771.4,4338.26,4959.39,3.18512,11.1622,0.298814,3.5773,2.12258,1.82156,7.08207,12.476,20.2699,19.6278,90794.8
1.74888,0.674412,1,0.101305,0.07,45097.1,8830.33,580.346,21346.5,21037.5,21482.6,23070.7,24267.6,26190.1,26475,28034.2,30150,32766.3,34803.4,38330.3,40223.7,44223.9,49802.8,55668,57771.6,61002.3,62830,67683.2,70511,74311,78730.8,79987.2,83672.2,87746.3,90866.9,93995.2,97277.5,99334.6,100243,100582,99906,99474,100713,103605,104108,110471,113104,115366,119797,121829,121622,120540,-3.07087,0.509691,-2.84749,0.739453,-5.14664,-1.96773,0.0792943,-4.83339,1.26349,-2.08862,-1.23428,-2.14636,0.106893,-1.99963,1.74723,-0.935737,-0.841434,-0.0651033,0.405868,-0.202434,-0.252411,0.142176,-1.22856,-3.36474,1.25649,0.095514,1.08506,-0.440395,-0.155975,1.07713,1.19328,0.0380873,2.02155,1.05981,2.18277,-0.618077,2.0039,1.22145,1.41866,0.0513,2.36578,1.45471,2.87305,2.51415,2.64216,-1.52634,2.25628,0.921857,3.08567,0.379774,2.4568,2.95068,0.612,2.59571,2.66737,2.08709,2.23989,2.35219,1.47154,1.18202,1.97836,2.03484,1.87368,2.81199,2.87,1.99087,3.44186,-3.03337,0.991475,3.08394,1.112,-3.09375,-2.64364,8151.26,7714.63,7843.05,7980.9,8090.43,7976.72,7640.13,7565.69,8141.11,9151.64,10404.9,11771.6,12685.7,13299.8,14411,15180.9,15290.4,15880.6,17028.5,18699.9,20936.3,23020.2,24289.6,24894.5,25951,27145.9,28493.1,30014.7,31703,33451.2,35089.4,36432.8,37245.9,38044.4,38395.4,38565.4,37761.2,37508.9,37556.3,38292.9,39451.1,41352.1,43317.4,45483.4,-0.0126128,45097.1,44633.8,43429,41655.3,39271.1,36506.6,33779.9,31454.3,29665.1,28294.4,27144.4,26201.4,25716.1,26023.5,27152.4,8830.33,8700.58,8482.55,8210.78,7754.12,7143.13,6519.72,6006.3,5657.3,5433.11,5231.74,4994.23,4779.04,4736.46,5001.73,0.791596,3.97601,7.99361,8.43847,3.74081,1.97956,1.92839,5.31297,23.2676,24.1776,118427
