"age","fish","srv1"
4,0.000535382,0.034776
5,0.00178335,0.067534
6,0.00592307,0.127086
7,0.0194848,0.226402
8,0.0621567,0.370399
9,0.181027,0.541833
10,0.424363,0.703903
11,0.710873,0.826953
12,0.891305,0.905716
13,0.964725,0.950764
14,0.989155,0.974886
15,0.996724,0.987347
16,0.999015,0.993665
17,0.999705,0.996839
18,0.999911,0.998425
19,0.999973,0.999216
20,0.999992,0.99961
21,0.999998,0.999806
22,0.999999,0.999903
23,1,0.999952
24,1,0.999976
25,1,0.999988
26,1,0.999994
27,1,0.999997
28,1,0.999999
29,1,0.999999
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
