"sigr","q_srv1","q_srv2","F40","natmort","spawn_biom_proj","ABC","obj_fun","tot_biom_1977","tot_biom_1978","tot_biom_1979","tot_biom_1980","tot_biom_1981","tot_biom_1982","tot_biom_1983","tot_biom_1984","tot_biom_1985","tot_biom_1986","tot_biom_1987","tot_biom_1988","tot_biom_1989","tot_biom_1990","tot_biom_1991","tot_biom_1992","tot_biom_1993","tot_biom_1994","tot_biom_1995","tot_biom_1996","tot_biom_1997","tot_biom_1998","tot_biom_1999","tot_biom_2000","tot_biom_2001","tot_biom_2002","tot_biom_2003","tot_biom_2004","tot_biom_2005","tot_biom_2006","tot_biom_2007","tot_biom_2008","tot_biom_2009","tot_biom_2010","tot_biom_2011","tot_biom_2012","tot_biom_2013","tot_biom_2014","tot_biom_2015","tot_biom_2016","tot_biom_2017","tot_biom_2018","tot_biom_2019","tot_biom_2020","log_rec_dev_1954","log_rec_dev_1955","log_rec_dev_1956","log_rec_dev_1957","log_rec_dev_1958","log_rec_dev_1959","log_rec_dev_1960","log_rec_dev_1961","log_rec_dev_1962","log_rec_dev_1963","log_rec_dev_1964","log_rec_dev_1965","log_rec_dev_1966","log_rec_dev_1967","log_rec_dev_1968","log_rec_dev_1969","log_rec_dev_1970","log_rec_dev_1971","log_rec_dev_1972","log_rec_dev_1973","log_rec_dev_1974","log_rec_dev_1975","log_rec_dev_1976","log_rec_dev_1977","log_rec_dev_1978","log_rec_dev_1979","log_rec_dev_1980","log_rec_dev_1981","log_rec_dev_1982","log_rec_dev_1983","log_rec_dev_1984","log_rec_dev_1985","log_rec_dev_1986","log_rec_dev_1987","log_rec_dev_1988","log_rec_dev_1989","log_rec_dev_1990","log_rec_dev_1991","log_rec_dev_1992","log_rec_dev_1993","log_rec_dev_1994","log_rec_dev_1995","log_rec_dev_1996","log_rec_dev_1997","log_rec_dev_1998","log_rec_dev_1999","log_rec_dev_2000","log_rec_dev_2001","log_rec_dev_2002","log_rec_dev_2003","log_rec_dev_2004","log_rec_dev_2005","log_rec_dev_2006","log_rec_dev_2007","log_rec_dev_2008","log_rec_dev_2009","log_rec_dev_2010","log_rec_dev_2011","log_rec_dev_2012","log_rec_dev_2013","log_rec_dev_2014","log_rec_dev_2015","log_rec_dev_2016","log_rec_dev_2017","log_rec_dev_2018","log_rec_dev_2019","log_rec_dev_2020","spawn_biom_1977","spawn_biom_1978","spawn_biom_1979","spawn_biom_1980","spawn_biom_1981","spawn_biom_1982","spawn_biom_1983","spawn_biom_1984","spawn_biom_1985","spawn_biom_1986","spawn_biom_1987","spawn_biom_1988","spawn_biom_1989","spawn_biom_1990","spawn_biom_1991","spawn_biom_1992","spawn_biom_1993","spawn_biom_1994","spawn_biom_1995","spawn_biom_1996","spawn_biom_1997","spawn_biom_1998","spawn_biom_1999","spawn_biom_2000","spawn_biom_2001","spawn_biom_2002","spawn_biom_2003","spawn_biom_2004","spawn_biom_2005","spawn_biom_2006","spawn_biom_2007","spawn_biom_2008","spawn_biom_2009","spawn_biom_2010","spawn_biom_2011","spawn_biom_2012","spawn_biom_2013","spawn_biom_2014","spawn_biom_2015","spawn_biom_2016","spawn_biom_2017","spawn_biom_2018","spawn_biom_2019","spawn_biom_2020","log_mean_rec","spawn_biom_proj_2021","spawn_biom_proj_2022","spawn_biom_proj_2023","spawn_biom_proj_2024","spawn_biom_proj_2025","spawn_biom_proj_2026","spawn_biom_proj_2027","spawn_biom_proj_2028","spawn_biom_proj_2029","spawn_biom_proj_2030","spawn_biom_proj_2031","spawn_biom_proj_2032","spawn_biom_proj_2033","spawn_biom_proj_2034","spawn_biom_proj_2035","pred_catch_proj_2021","pred_catch_proj_2022","pred_catch_proj_2023","pred_catch_proj_2024","pred_catch_proj_2025","pred_catch_proj_2026","pred_catch_proj_2027","pred_catch_proj_2028","pred_catch_proj_2029","pred_catch_proj_2030","pred_catch_proj_2031","pred_catch_proj_2032","pred_catch_proj_2033","pred_catch_proj_2034","pred_catch_proj_2035","rec_proj_2021","rec_proj_2022","rec_proj_2023","rec_proj_2024","rec_proj_2025","rec_proj_2026","rec_proj_2027","rec_proj_2028","rec_proj_2029","rec_proj_2030","tot_biom_proj_2020"
1.31204,0.718624,1,0.0824816,0.07,38901.7,6427.63,561.512,24918.8,25011.7,25517.9,26518.3,27958.8,29436.2,30292.2,32476,33574.3,35654.5,37927.6,40816.6,43037.2,44030,49424,56563.6,59159.2,62003.4,64975.3,69673.9,72819.2,76314.8,81114.3,82549.2,85204.8,88653.8,91083.8,93139.6,95598.6,97008.9,97260.5,97262,96306.6,96238.3,96017.1,98035.1,97850.9,102999,104269,105234,106146,106458,104815,102647,-0.130241,-0.231292,-0.190481,-1.20479,-1.33178,-1.13838,-2.88976,-2.02999,-1.94688,0.177435,-0.81843,-2.41801,-2.61671,-1.61977,-2.30729,-1.94425,-0.149319,-0.122419,-1.23182,0.677412,1.01139,-3.06256,-1.55191,0.387868,-0.289489,0.441494,1.18031,1.17236,0.662162,-0.902558,1.62589,-0.980963,0.542937,0.928584,1.35783,1.50161,2.28373,1.90543,1.93862,-1.6428,1.39825,1.269,2.30933,0.42206,1.52737,2.29305,0.698917,1.6913,1.78929,1.51495,1.33604,1.44695,0.131943,0.921191,1.59359,1.12591,1.61727,1.43281,2.01139,1.4011,2.7224,0.398616,-0.802133,1.12892,0.473175,-1.88922,-2.15346,9002.63,8929.77,9057.03,9141.31,9233.91,9350.76,9419.28,9482.14,9726.2,10540,11527.1,12625.2,13191.3,12046.2,12632.6,13715.9,13922.2,14447.1,15772.5,17431,19652,21846.3,23550.3,24387.1,25343.3,26614.7,27746.2,29001.4,30561.7,32308.5,33632.3,34509.7,35014,35398,35441.2,35612.2,34842.1,34517.8,33926,34029.4,34560.5,35758.4,37030.4,38629.1,0.648392,38901.7,38565.3,37492.4,35903.3,34085.7,32300.4,30730.7,29443.9,28373.8,27429.7,26584.4,25824.7,25172.4,24576.7,23996.4,6427.63,6360.27,6105.42,5770.78,5403.91,5054.05,4794.41,4627.36,4489.87,4351,4209.03,3980.85,3795.77,3628.8,3457.86,12.1839,2.58121,7.34523,3.79969,2.24923,9.06373,3.02968,6.50474,3.48604,1.14918,101482
1.27426,0.631487,1,0.0728951,0.07,46207.7,6366.66,567.717,27849.8,27733.4,28083.5,28476.7,30805.7,32579.1,33793.1,36545.2,37971.8,40554.5,42286.8,45638.3,47879.6,47060.5,52352.8,59251.1,61941.7,65373.4,68275.6,72724.1,76083.1,79481.7,84269.4,85573.3,89011.4,93307.7,96226.3,99551,102475,104028,104917,104782,104280,103079,103069,106562,106776,113740,115566,117246,119393,119889,118446,116333,-1.04136,-1.7568,-1.18398,-0.612022,-0.62845,-0.934798,-2.25821,-1.90946,-2.58856,0.384807,-0.620287,-2.39518,-2.13414,-1.53501,-2.42361,-2.54902,-0.0473781,0.635785,-0.326544,1.03545,-0.1098,-2.79885,-1.46386,0.323871,-0.486013,0.420737,1.0503,1.63513,0.431536,-0.841077,1.58815,-0.474462,0.806064,-0.680698,1.62908,1.13985,2.29471,1.69091,2.00227,-1.54118,1.45277,0.826541,2.11116,0.806004,1.55475,2.33765,0.5334,1.90922,1.77106,1.21197,1.66495,1.22199,0.203284,1.08036,1.35088,1.34287,1.21271,1.57903,2.35592,1.06427,2.77192,-0.270376,-0.259444,1.55615,-0.66044,-1.57669,-1.6205,10229.4,10388.8,10696.8,10654.3,10735.9,10732.1,10709.4,10858.6,11195.3,12252.7,13526.8,14947.8,15894.1,13915.3,14664.4,15557.9,15758.3,16472.5,18059.3,20086.2,22650.9,24909.4,26349.9,26877.2,27627,28899.1,30187.8,31750.3,33708.4,35747.8,37516.5,38664,39416.8,39587.9,39673.6,39810.3,38963.9,38868.7,38338.5,38684,39660.5,41470.8,43438.5,45636.1,0.724995,46207.7,45940.2,44910.3,43539.1,42378.7,41908.8,42253.9,42957.6,43271,42944.8,42136,41485.6,41764.9,43522.3,46700.5,6366.66,6372.59,6200.9,5946.13,5675.83,5500.18,5553.2,5780.33,5944.17,5933.89,5763.47,5525.64,5378.22,5489.4,5926.02,42.9383,1.5809,15.5424,2.00735,1.70376,1.00527,2.60585,32.3454,2.1053,69.9216,121483
1.14012,0.605686,1,0.0770139,0.07,45902.7,6842.99,554.607,27203.5,26170.3,26035,27291.2,28178,30169.8,31751.1,34918.2,36463.1,39322.4,41383.2,44535.5,46122.1,48679.9,53985.3,60588.7,62901.9,66240.2,68953.3,73793.1,76856.7,80789.1,85685.1,86743.2,89540.6,93810.6,96288.4,99985.7,103279,105592,106761,107301,106800,106732,108091,111668,111515,116278,117658,119526,120643,120814,119290,116962,-0.605564,-1.74767,-1.11935,-0.15305,-0.126649,-1.85073,-0.755571,-2.22333,-3.19676,-0.414099,0.312162,-1.79779,-1.53168,-1.4598,-1.65636,-3.63993,-0.263059,-0.357415,-0.919412,0.553384,-0.706862,-2.91268,-1.02829,-0.0866515,-0.217935,0.0289566,1.31277,0.483921,1.1543,-0.0135488,1.56443,-0.531967,0.705424,-0.799585,1.31717,1.00304,2.23358,1.77602,1.83962,-1.27824,1.22785,0.861397,2.11754,0.266376,1.65872,2.16315,0.398984,1.7013,1.80919,1.08164,1.71207,1.32852,0.603959,0.559294,1.46126,0.861522,1.49359,1.79439,2.16442,0.727969,2.30353,0.405001,1.09961,1.16336,-1.22776,-0.225866,-0.503495,11094.7,10553,10419.3,10305.8,10069.1,9913.76,9878.14,10000.3,10171.4,11116.5,12331.6,13746.4,14572.1,14349.3,15116.8,15960.2,15902,16490.1,17785.9,19702.8,22186.4,24551.5,26182.4,26690.5,27346.6,28576.1,29720.6,31297.1,33143.9,35148.9,36972.3,38213.5,39213,39890.5,40459.8,40820.3,39993.2,39941.5,39695.3,40179.5,41051.1,42768.8,44328.7,45850.5,0.824244,45902.7,45145.7,43765.6,41904.4,39848,37915,36350.9,35217.7,34440.9,33969.5,33801.1,33940.1,34212,34321,34015.7,6842.99,6742.69,6519.45,6204.7,5833.29,5482.85,5232.39,5084,4978.6,4900.58,4859.62,4889.83,5005.84,5107.06,5069.38,12.7373,4.56945,7.15381,8.4112,3.69749,12.0924,18.0377,6.74259,2.08873,1.80201,115807
1.16716,0.780772,1,0.0761437,0.07,32940.7,4908.6,559.121,22660,22585.8,22844.8,24442.5,26014.1,27719.2,28958.4,30960.2,32313.4,34745.5,36510.1,39636,41490.2,39660.6,44300.1,50503.9,52826.4,56055.4,58368.2,62735.6,65535.2,68429.4,72609.4,73460.8,75507.8,78769.1,80173.2,82978.4,85557.4,87389.6,88031.4,86833.2,86172.4,85107.2,85064.9,86533.9,85633.1,89107.6,90097.9,91397.6,90739.7,90020.6,88387.8,85681.5,-0.431276,-1.06887,-1.24507,0.0120155,0.0066285,-1.00272,-0.248743,-1.59372,-3.91556,-0.951823,-0.247529,-1.0616,-2.08465,-1.80729,-1.43621,-2.92137,-0.509981,-0.0788111,-1.16654,0.0981131,0.265593,-3.71996,-1.90857,0.913331,-0.23343,0.0725374,1.63253,0.861714,0.962251,-0.863481,1.25344,0.67814,0.896353,-0.802346,1.629,1.01263,2.25211,1.73106,2.00775,-1.40055,1.55386,0.613578,2.23269,0.244875,1.70193,2.24928,0.368837,1.68861,1.91294,1.20222,1.54975,1.33179,0.94513,0.637847,0.659401,1.24436,1.14747,1.77638,2.03578,0.715741,2.4936,0.339645,0.632491,-0.12774,-2.09251,-0.016473,-1.85684,8899.95,8635.23,8529.2,8351.17,8261.2,8123.39,8174.41,8382,8663.21,9606.74,10769,12010.1,12789.7,10647.5,11254.2,12075.1,12207.2,12708.1,13788.6,15332,17428.2,19264.8,20710.3,21269.9,21833.4,22722,23355.4,24695.3,26269.2,27903.4,29315.4,30065.3,30866.3,31349.8,31555,31562.9,30730.4,30156.6,29557.3,29597.5,29639.1,30618.7,31766.2,32895.4,0.616759,32940.7,32661.1,31665,30110,28279.2,26422.4,24745.8,23421.5,22468.9,21807.6,21359.4,21151.2,21268.2,21806.7,22841.7,4908.6,4889.22,4716.68,4443.47,4129.83,3820.13,3428.25,3059.8,2825.85,2668.28,2549.51,2480.44,2486.3,2591.65,2838.44,1.28112,6.63119,5.35462,1.26215,4.55391,2.8135,7.85159,2.44516,4.67369,28.8903,82198
1.25061,0.712992,1,0.0862891,0.07,34292.1,5819.33,568.026,24643.1,24522.7,24598.2,26400,27737.2,29719.9,30903.7,32130,33624.6,36331.3,38236,41833.6,44342.8,41734.7,47235.5,53426.4,55746.2,58872.2,61460.2,65211.4,67741.7,70089.6,74667.4,75718,77990.7,81451.1,84232.7,86823,89877.2,91665.8,92091.4,91674.2,90796.8,90004.6,90583.8,92517,92260.2,95227.3,95910,96680.6,95446.2,94677.1,92890.4,89994.3,-0.0714256,-1.67664,-1.3801,-0.697034,-0.23263,-1.35466,-0.130023,-2.5925,-4.60675,-1.58785,0.674199,-1.71948,-1.75228,-1.59902,-0.825549,-2.1937,-0.829602,-0.548187,-0.616584,0.420112,0.550615,-2.31261,-2.6282,0.748162,0.0126753,-0.302691,1.65389,0.353463,1.27505,-0.542567,1.16967,0.461595,1.25455,-1.17533,1.7546,0.784809,2.28663,1.81468,1.88299,-1.15919,1.42696,0.721063,2.15429,0.192787,1.51338,2.38167,0.675139,1.70328,1.8082,1.56851,1.30409,1.50587,0.740888,0.374178,1.26765,0.962579,1.24539,1.88534,2.02052,0.877997,2.41388,-0.510981,0.859304,0.0334582,-0.79616,0.221964,-2.09045,9418.71,9087.65,8980.83,8958.56,9013.75,8966.95,8942.28,8728.35,9026.49,9837.38,10951.4,12190.6,13254.2,10682.2,11495.7,12343.2,12499.8,13080.8,14336.1,15785.2,17927.1,19825.2,21351.5,21842.1,22259.2,23064.9,23870.1,25036.7,26652.8,28380.3,29941.2,30999.2,31924.5,32620.1,33066.7,33272.5,32651,31890.5,31323.4,31163.9,31022.4,32036.5,33152.2,34246.3,0.649472,34292.1,33692.3,32493.9,30783.9,28833.9,26886.2,25133.8,23706.3,22680.8,22004.1,21577.5,21395.3,21489.4,21880.9,22538.7,5819.33,5727.19,5481.01,5141.55,4769.29,4408.71,4095.11,3762.67,3457.04,3266.66,3135.88,3069.75,3091.74,3209.57,3440,3.51626,4.18629,7.37896,3.00673,1.95332,8.59674,4.20063,4.22436,16.5872,9.90135,86857
1.22943,0.724458,1,0.0760644,0.07,37854.1,5873.06,559.648,23820.5,23370.2,23103.2,24255.8,25433.9,26860.4,27803.6,29260.9,30858.1,33190.5,34877.5,38176,40500,41806.6,47966.2,54083.3,56455.1,59710.9,62323.2,66552.4,69263.5,72292.5,76493.8,77676.3,80142.6,83198,86161.7,88891.4,92240.4,94268.5,94793.7,95017.5,94771.1,94659.2,95732.1,97843.8,97148.7,102335,104181,107711,109003,110047,109790,108113,-0.412489,-1.70887,-1.96397,0.202509,-0.182313,-0.748231,-0.472488,-3.55375,-4.06329,-1.55634,-0.0840662,-1.82903,-2.12225,-2.0225,-0.652138,-2.10954,-1.34552,-1.11452,-0.230916,0.0390418,-0.103166,-1.52002,-2.33102,-0.12221,0.254916,-0.187855,1.31474,0.472621,1.04956,-0.52587,1.11961,0.158109,0.718657,-0.712138,1.60727,1.01632,2.10372,1.95517,1.7299,-1.18294,1.29731,0.438336,2.09563,0.0850608,1.60128,2.21162,0.462201,1.74244,1.60419,1.47141,1.1522,1.55487,0.538082,0.416584,1.46661,0.820979,1.44965,1.73055,1.86775,0.800208,2.63491,0.473326,1.74186,0.491593,0.369726,-0.00636127,-1.8967,9614.68,9143.42,8835.34,8627.04,8536.91,8241.9,8041.04,7805.63,8056.2,8767.73,9698.44,10782.9,11598.7,10837,11661.1,12323.4,12283.7,12725.2,13877,15369.7,17513,19559.9,21083.1,21814,22307.1,23023.5,23924.7,25203.3,26841.7,28638.2,30170.7,31264.5,32348,33043.3,33637.2,33997.2,33330.4,33053.1,32638.4,32744.5,32967,33981.1,35351.9,36966.1,0.755631,37854.1,38467.4,38417.6,37686.8,36449.9,34986.9,33609.8,32561.3,31893.2,31480.7,31110.8,30652.8,30122.1,29631.4,29245.7,5873.06,6001.98,5958.13,5763.8,5470.41,5147.65,4879.51,4737.65,4718.1,4746.11,4726.58,4617.73,4482.61,4397.28,4366.1,6.67628,9.84082,10.312,11.8167,0.784481,4.49709,3.83503,12.4327,2.86236,10.5582,106679
1.35311,0.792981,1,0.0935454,0.07,34517.5,6818.57,559.752,22655.6,21867.8,21655.1,22280.5,23496.5,24481.8,25310.6,26522.9,27921.1,29914.9,31555.5,34529.3,35916.6,38838.3,44815.3,50593.1,52834.6,55854.1,58101.1,62139.3,64488.9,67632.8,71518.7,72771.3,75248.8,78366.4,81326.8,84261.2,87198.6,88908.8,90022.8,89766.6,89475.5,88332.5,89466.3,91330,90702.9,96468.7,98289.5,100046,99662.7,99803.8,98876.1,96277.6,-0.237025,-0.972825,-1.39677,0.575574,0.151319,-0.192939,-0.0390931,-2.59196,-3.40886,-1.27276,-0.252033,-1.72968,-1.55981,-1.98819,-1.3977,-1.25628,-0.66465,0.0494263,-0.269128,0.13421,-0.391386,-2.86264,-1.22148,-0.527572,-0.0486614,0.396586,1.21715,1.09202,0.693692,-0.329618,1.10226,0.58605,0.660752,-0.073146,1.65667,1.26466,2.28208,2.03871,1.6946,-0.53921,1.60348,0.649836,2.17951,0.0112892,1.97888,2.16458,1.07289,1.86074,1.70558,1.77145,1.26743,1.52788,0.516627,1.01554,1.21217,1.18605,1.1243,2.09692,1.89253,1.3495,2.87688,-1.20892,0.87913,-0.104757,0.202461,0.714782,-1.10611,9119.11,8707.24,8486.93,8258.36,8087.88,7749.22,7506.48,7242.28,7343.87,7935.96,8762.23,9729.83,10046.7,9848.38,10603.9,11283.4,11229.5,11505.9,12435.8,13880,15869.3,17710.4,19223.6,19819.2,20302.1,21082,21873.2,23189.7,24740.4,26472.1,28153.6,29288.6,30378,30980.1,31534.6,31918.3,31063.2,30657.7,30137.8,29944.4,29808.2,30867.7,32210.8,33624.2,0.578697,34517.5,34450,33643.8,32178.7,30347.6,28399.5,26524.5,24836.4,23398,22217.4,21278.2,20563.9,20068.5,19795.7,19902.3,6818.57,6750.76,6419.99,5991.23,5558.55,5149.93,4780.44,4473.98,4224.7,4015.49,3726.13,3495.25,3289.92,3151.2,3146.7,4.25523,3.17659,2.91209,5.73197,6.45563,1.32753,3.7321,3.33846,6.00587,8.89993,94190.3
1.36285,0.735164,1,0.0595876,0.07,42959.2,5129.27,565.658,23981.5,23736.9,23668.1,24386.2,25940.3,27023.6,28286.2,30609.1,31082.6,33117.4,34958.5,37686.8,39994.4,42144.1,47389.8,52832.9,54580.7,57655.6,60512.7,64977.7,67510.9,70818.7,75573.4,76385.7,78746.2,82319,85078,88224.7,90614.1,92792.5,94203.2,94368.9,94749.3,94660,95154.6,98220.3,98498.2,106912,110718,114185,116122,117602,118220,116925,-0.591713,-0.387456,-1.03292,0.736927,-0.0650323,-0.346595,-0.337549,-2.42863,-3.9069,-0.60213,-1.20716,-2.31251,-1.25847,-1.27085,-2.01865,-0.600944,0.860239,-0.0431812,-0.244119,0.264119,-0.535327,-2.16697,-1.13856,-0.351461,0.745341,0.379818,1.32979,1.28924,0.436655,0.401425,1.54733,-0.174825,0.344048,0.431708,1.56158,1.74388,2.19577,2.08089,1.88434,-0.728718,1.6183,1.12192,2.26459,0.288692,1.81876,2.46285,0.343069,1.8541,2.01818,1.57681,1.77027,1.30701,0.894637,1.37796,1.42921,1.29879,1.36864,1.95802,2.3474,1.39759,3.24974,-0.795886,1.13351,0.99007,-0.3885,1.35752,-1.82194,9457.61,9323.54,9224.44,8989.08,8841.91,8566.73,8465.23,8561.63,8433.09,9317.47,10392.9,11542.9,12145.5,11796.1,12356.9,12838.3,12557.3,12969.5,14230.5,15993,18137.5,20225.3,21757.2,22217.4,22768.9,23705.6,24721.8,26032.9,27532.3,29442,31070.6,32156.9,33365,34202.1,34554.6,34986.9,34364.6,34001.4,33831.6,33969,34490.1,36363.4,38687.4,41404.1,0.527937,42959.2,44212.1,44165.4,43131.4,41467.4,39436.5,37210.3,34956.5,32843.6,31125,30026.9,29712.6,30263.8,31739.4,34087.7,5129.27,5312.58,5242.84,5050.68,4812.17,4558.93,4282.84,3996.58,3648.97,3224.57,2949.17,2859.25,2957.59,3238.14,3687.69,2.56206,0.881081,2.01421,0.814474,4.32488,11.1414,5.83484,11.6771,13.3023,39.8584,114685
1.37161,0.777269,1,0.0765765,0.07,37591.7,5546.7,566.75,24339.5,23849.2,23733.6,24076.1,26103.5,27275.3,28288.6,31037.1,32220.4,34190.2,36861.7,39980.4,41229.8,42878.5,47587.6,53326.6,55284.5,58279.7,61058.8,65527.9,67579.3,70447.7,74964.6,75657.5,77486.2,81256.2,83634.2,86269.4,88980.1,91220.5,92065.9,91964.2,91598,91573.3,91520.2,93168.2,92353,98179.7,99980,101425,103665,105647,106495,105512,0.0323224,-0.338999,-1.06332,-0.137508,-0.221704,-0.957674,-1.00347,-1.83962,-3.47491,-0.347212,-0.646818,-2.013,-0.652387,-1.31929,-2.21657,-1.32685,0.151132,-0.301633,0.519515,-0.0961801,-0.210567,-1.86812,-1.29069,-0.598079,0.0785147,0.661483,0.824568,1.74999,0.178584,-0.202731,1.63129,-0.267878,-0.920346,1.27664,1.44816,1.40688,2.03386,1.86813,1.97325,-1.06252,1.5879,0.846978,2.22221,-0.107536,1.47285,2.40143,0.63563,1.65493,1.97669,1.2134,1.7678,1.25263,0.9863,0.629229,1.36123,0.931746,1.60176,1.65803,1.88329,1.17223,2.86067,-1.27,0.710218,1.89767,0.87585,1.2432,-2.74325,9580.06,9405.35,9245.17,9085.46,8884.43,8579.6,8334.34,8401.86,8462.4,9393.97,10556.2,11836.4,12160.2,11796.8,12428.8,13122.7,13149.3,13628,14926.2,16511.6,18292.4,20242.9,21680.9,22105.3,22569.9,23576.2,24547.6,25539.9,27074.5,28840,30392.4,31399.2,32436.3,33149.1,33395.6,33717.9,32947.7,32688.7,32358.5,32284.8,32547.5,33824.6,35143.7,36662.8,0.626793,37591.7,38095.6,38069.9,37536.4,36613.4,35407.5,34060.4,32722.1,31479,30274.8,29129.2,28171.5,27646.5,27736.4,28510.3,5546.7,5667.13,5633.87,5545.61,5404.88,5197.73,4953.87,4740.53,4579.18,4421.41,4228.53,4021.65,3841.81,3802.02,3943.88,4.00381,8.53024,5.76075,3.63362,0.778893,4.56414,3.23128,1.70183,33.1486,3.2173,104534
1.28629,0.732659,1,0.0856145,0.07,41044.4,6939.61,554.947,25979.2,25558.4,24998.2,25328.5,26792.4,27483.2,28312.3,30147.2,31551.6,33292.8,35284.7,38629.5,40299.2,42814.8,47069.6,52800.9,55091.1,58256.5,60490.4,64997.6,66860.6,69800.2,74249.9,75014.1,77841,81935.2,84613.7,87737.8,90972.6,93447.2,94737.2,95314.1,95009.3,95830.2,96682.1,99642.3,100147,107089,109694,111521,111687,111125,110255,107943,0.343058,-1.71854,-0.730446,-0.473713,-0.40807,-0.393406,-0.416495,-1.67491,-2.10866,-0.24941,0.109654,-0.539127,0.0326812,-1.63997,-1.5819,-1.95656,0.823376,-0.20622,-0.571539,0.146032,-0.989569,-0.87454,-0.340626,-1.56721,0.813256,0.576597,0.712073,1.69458,0.490589,-1.22334,1.36509,0.32784,-0.546147,0.905317,1.8216,1.15432,2.31342,1.72143,1.85484,0.450852,1.46963,0.833569,2.2701,-0.467599,1.56411,2.44305,0.237957,1.9914,2.10923,1.06282,1.79949,1.47621,1.00087,0.717743,1.59488,0.968578,1.88761,1.84808,2.23719,0.921779,2.92032,-0.37724,0.14719,0.101298,-0.359694,1.43856,-2.08104,10569.9,10251.1,9774.82,9533.87,9104.99,8560.26,8391.81,8411.84,8722.2,9634.01,10696.7,11825.1,12313.4,11870.5,12190.9,12920.6,12929.4,13589,14759.7,16445.5,18240.2,20202.1,21585.1,22119.7,22758.8,23645.3,24634.1,25733.2,27325.7,29154.8,30927,32198.8,33311.9,34214.7,34652.1,35044,34765.1,34923.6,34976.7,35436,36138,37549.7,39035.6,40638.5,0.583837,41044.4,40471.7,39142.3,37293.9,35289.3,33393.1,31796,30675.7,30069,29849.3,29761.4,29556,29107.6,28446,27689,6939.61,6899.27,6579.7,6152.72,5740.76,5373.4,5032.07,4785.08,4710.17,4770.49,4867.17,4899.78,4822.75,4664.12,4491.85,0.73589,9.87912,9.30405,12.5655,7.95377,6.82492,1.59145,5.62437,2.84631,7.05779,104786
