"YEAR","FMP_AREA","FMP_GEAR","SPECIES","LENGTH","FREQUENCY","PERFORMANCE","HAUL_JOIN","PORT_JOIN"
1989,"GOA","TRW",330,44,1,2,"281215",NA
1990,"GOA","TRW",330,40,3,1,"903636",NA
1990,"GOA","TRW",330,41,2,1,"903636",NA
1990,"GOA","TRW",330,42,19,1,"903636",NA
1990,"GOA","TRW",330,43,48,1,"903636",NA
1990,"GOA","TRW",330,44,37,1,"903636",NA
1990,"GOA","TRW",330,45,72,1,"903636",NA
1990,"GOA","TRW",330,38,1,1,"903639",NA
1990,"GOA","TRW",330,40,12,1,"903639",NA
1990,"GOA","TRW",330,41,17,1,"903639",NA
1990,"GOA","TRW",330,42,32,1,"903639",NA
1990,"GOA","TRW",330,43,27,1,"903639",NA
1990,"GOA","TRW",330,44,36,1,"903639",NA
1990,"GOA","TRW",330,45,62,1,"903639",NA
1990,"GOA","TRW",330,47,1,1,"903639",NA
1990,"GOA","TRW",330,42,3,1,"914394",NA
1990,"GOA","TRW",330,43,2,1,"914394",NA
1990,"GOA","TRW",330,44,2,1,"914394",NA
1990,"GOA","TRW",330,45,4,1,"914394",NA
1990,"GOA","TRW",330,41,1,3,"914400",NA
1990,"GOA","TRW",330,42,3,3,"914400",NA
1990,"GOA","TRW",330,44,6,3,"914400",NA
1990,"GOA","TRW",330,45,3,3,"914400",NA
1990,"GOA","TRW",330,31,1,3,"914401",NA
1990,"GOA","TRW",330,35,1,3,"914401",NA
1990,"GOA","TRW",330,36,2,3,"914401",NA
1990,"GOA","TRW",330,37,4,3,"914401",NA
1990,"GOA","TRW",330,39,1,3,"914401",NA
1990,"GOA","TRW",330,40,2,3,"914401",NA
1990,"GOA","TRW",330,42,4,3,"914401",NA
1990,"GOA","TRW",330,43,2,3,"914401",NA
1990,"GOA","TRW",330,44,3,3,"914401",NA
1990,"GOA","TRW",330,45,1,3,"914401",NA
1990,"GOA","TRW",330,46,1,3,"914401",NA
1990,"GOA","TRW",330,48,1,3,"914401",NA
1990,"GOA","TRW",330,42,2,1,"914392",NA
1990,"GOA","TRW",330,45,3,1,"914392",NA
1990,"GOA","TRW",330,42,2,1,"914386",NA
