Alt Stock Year ABC OFL Catch SSB F Total_Biom
1 Model_1_goa_dr_2022.dat 2022 8.04608 9.79664 2.64385 45.051 0.0291545 109.82
1 Model_1_goa_dr_2022.dat 2023 7.91656262 9.6379668 4.78731 44.4953477 0.0542803982 107.159784
1 Model_1_goa_dr_2022.dat 2024 7.51961017 9.15428554 4.39124 42.5814119 0.052366065 102.739974
1 Model_1_goa_dr_2022.dat 2025 7.10285434 8.6465803 7.10285434 40.2095807 0.0913417 99.358599
1 Model_1_goa_dr_2022.dat 2026 6.41807441 7.81278829 6.41807441 36.6392815 0.0913417 93.8615219
1 Model_1_goa_dr_2022.dat 2027 5.79042267 7.04897146 5.79042267 33.4317751 0.0913417 89.6858975
1 Model_1_goa_dr_2022.dat 2028 5.27180824 6.41844747 5.27180824 30.7766317 0.0913417 86.7337511
1 Model_1_goa_dr_2022.dat 2029 4.9142079 5.98436721 4.9142079 28.7935079 0.0913417 84.8259966
1 Model_1_goa_dr_2022.dat 2030 4.69830363 5.71839409 4.69830363 27.4852519 0.0908140149 83.6627547
1 Model_1_goa_dr_2022.dat 2031 4.53651683 5.51978275 4.53651683 26.7276661 0.089027838 83.0576576
1 Model_1_goa_dr_2022.dat 2032 4.45183244 5.41694029 4.45183244 26.3549608 0.0876866196 82.7553049
1 Model_1_goa_dr_2022.dat 2033 4.41514978 5.37240575 4.41514978 26.2079427 0.0869457599 82.6841086
1 Model_1_goa_dr_2022.dat 2034 4.40411698 5.3592529 4.40411698 26.1813217 0.08660031 82.6546022
1 Model_1_goa_dr_2022.dat 2035 4.40924927 5.36573645 4.40924927 26.2199232 0.086465357 82.693524
2 Model_1_goa_dr_2022.dat 2022 8.04608 9.79664 2.64385 45.051 0.0291545 109.82
2 Model_1_goa_dr_2022.dat 2023 7.91656262 9.6379668 4.78731 44.4953477 0.0542803982 107.159784
2 Model_1_goa_dr_2022.dat 2024 7.51961017 9.15428554 4.39124 42.5814119 0.052366065 102.739974
2 Model_1_goa_dr_2022.dat 2025 7.10285434 8.6465803 7.10285434 40.2095807 0.0913417 99.358599
2 Model_1_goa_dr_2022.dat 2026 6.41807441 7.81278829 6.41807441 36.6392815 0.0913417 93.8615219
2 Model_1_goa_dr_2022.dat 2027 5.79042267 7.04897146 5.79042267 33.4317751 0.0913417 89.6858975
2 Model_1_goa_dr_2022.dat 2028 5.27180824 6.41844747 5.27180824 30.7766317 0.0913417 86.7337511
2 Model_1_goa_dr_2022.dat 2029 4.9142079 5.98436721 4.9142079 28.7935079 0.0913417 84.8259966
2 Model_1_goa_dr_2022.dat 2030 4.69830363 5.71839409 4.69830363 27.4852519 0.0908140149 83.6627547
2 Model_1_goa_dr_2022.dat 2031 4.53651683 5.51978275 4.53651683 26.7276661 0.089027838 83.0576576
2 Model_1_goa_dr_2022.dat 2032 4.45183244 5.41694029 4.45183244 26.3549608 0.0876866196 82.7553049
2 Model_1_goa_dr_2022.dat 2033 4.41514978 5.37240575 4.41514978 26.2079427 0.0869457599 82.6841086
2 Model_1_goa_dr_2022.dat 2034 4.40411698 5.3592529 4.40411698 26.1813217 0.08660031 82.6546022
2 Model_1_goa_dr_2022.dat 2035 4.40924927 5.36573645 4.40924927 26.2199232 0.086465357 82.693524
3 Model_1_goa_dr_2022.dat 2022 4.10966 9.79664 2.64385 45.051 0.0291545 109.82
3 Model_1_goa_dr_2022.dat 2023 4.04441448 9.6379668 4.78731 44.4953477 0.0542803982 107.159784
3 Model_1_goa_dr_2022.dat 2024 3.84200052 9.15428554 4.39124 42.5814119 0.052366065 102.739974
3 Model_1_goa_dr_2022.dat 2025 3.62938886 8.6465803 3.62938886 40.5065803 0.0456709 99.358599
3 Model_1_goa_dr_2022.dat 2026 3.42596597 8.16116775 3.42596597 38.5399237 0.0456709 97.3012362
3 Model_1_goa_dr_2022.dat 2027 3.22491993 7.6827592 3.22491993 36.6555771 0.0456709 95.9224212
