"","obs","pred"
"1",388,673.61
"2",162,407.995
"3",224,472.605
"4",597,785.367
"5",845,933.811
"6",853,920.422
"7",1017,1004.12
"8",510,667.437
"9",34,160.085
"10",17,116.365
"11",19,129.924
"12",1067,1026.83
"13",1707,1353.97
"14",1612,1155.77
"15",2187.16,1338.34
"16",3531.91,3259
"17",3181.94,2971.23
"18",2979.62,2816.97
"19",2881.88,2756.22
"20",2290.33,2259.84
"21",2466.62,2442.69
"22",3109.15,3066.29
"23",4658.44,4546.38
"24",3728.36,3668.59
"25",3006.01,2962.99
"26",3320.8,3269.4
"27",3055.77,3025.32
"28",2688.43,2682.52
"29",2236.41,2266.05
"30",2452.87,2483.93
"31",3384.59,3405.5
"32",3644.08,3663.92
"33",3074.69,3096.18
"34",3141.98,3157.42
"35",2540.36,2562.73
"36",4010.49,3963.26
"37",3158.25,3163.49
"38",3062.06,3063.61
"39",2779.84,2796.31
"40",3322.13,3309.57
"41",2621.1,2629.27
