"sigr","q_srv1","q_srv2","F40","natmort","spawn_biom_proj","ABC","obj_fun","tot_biom_1977","tot_biom_1978","tot_biom_1979","tot_biom_1980","tot_biom_1981","tot_biom_1982","tot_biom_1983","tot_biom_1984","tot_biom_1985","tot_biom_1986","tot_biom_1987","tot_biom_1988","tot_biom_1989","tot_biom_1990","tot_biom_1991","tot_biom_1992","tot_biom_1993","tot_biom_1994","tot_biom_1995","tot_biom_1996","tot_biom_1997","tot_biom_1998","tot_biom_1999","tot_biom_2000","tot_biom_2001","tot_biom_2002","tot_biom_2003","tot_biom_2004","tot_biom_2005","tot_biom_2006","tot_biom_2007","tot_biom_2008","tot_biom_2009","tot_biom_2010","tot_biom_2011","tot_biom_2012","tot_biom_2013","tot_biom_2014","tot_biom_2015","tot_biom_2016","tot_biom_2017","tot_biom_2018","tot_biom_2019","tot_biom_2020","tot_biom_2021","log_rec_dev_1954","log_rec_dev_1955","log_rec_dev_1956","log_rec_dev_1957","log_rec_dev_1958","log_rec_dev_1959","log_rec_dev_1960","log_rec_dev_1961","log_rec_dev_1962","log_rec_dev_1963","log_rec_dev_1964","log_rec_dev_1965","log_rec_dev_1966","log_rec_dev_1967","log_rec_dev_1968","log_rec_dev_1969","log_rec_dev_1970","log_rec_dev_1971","log_rec_dev_1972","log_rec_dev_1973","log_rec_dev_1974","log_rec_dev_1975","log_rec_dev_1976","log_rec_dev_1977","log_rec_dev_1978","log_rec_dev_1979","log_rec_dev_1980","log_rec_dev_1981","log_rec_dev_1982","log_rec_dev_1983","log_rec_dev_1984","log_rec_dev_1985","log_rec_dev_1986","log_rec_dev_1987","log_rec_dev_1988","log_rec_dev_1989","log_rec_dev_1990","log_rec_dev_1991","log_rec_dev_1992","log_rec_dev_1993","log_rec_dev_1994","log_rec_dev_1995","log_rec_dev_1996","log_rec_dev_1997","log_rec_dev_1998","log_rec_dev_1999","log_rec_dev_2000","log_rec_dev_2001","log_rec_dev_2002","log_rec_dev_2003","log_rec_dev_2004","log_rec_dev_2005","log_rec_dev_2006","log_rec_dev_2007","log_rec_dev_2008","log_rec_dev_2009","log_rec_dev_2010","log_rec_dev_2011","log_rec_dev_2012","log_rec_dev_2013","log_rec_dev_2014","log_rec_dev_2015","log_rec_dev_2016","log_rec_dev_2017","log_rec_dev_2018","log_rec_dev_2019","log_rec_dev_2020","log_rec_dev_2021","spawn_biom_1977","spawn_biom_1978","spawn_biom_1979","spawn_biom_1980","spawn_biom_1981","spawn_biom_1982","spawn_biom_1983","spawn_biom_1984","spawn_biom_1985","spawn_biom_1986","spawn_biom_1987","spawn_biom_1988","spawn_biom_1989","spawn_biom_1990","spawn_biom_1991","spawn_biom_1992","spawn_biom_1993","spawn_biom_1994","spawn_biom_1995","spawn_biom_1996","spawn_biom_1997","spawn_biom_1998","spawn_biom_1999","spawn_biom_2000","spawn_biom_2001","spawn_biom_2002","spawn_biom_2003","spawn_biom_2004","spawn_biom_2005","spawn_biom_2006","spawn_biom_2007","spawn_biom_2008","spawn_biom_2009","spawn_biom_2010","spawn_biom_2011","spawn_biom_2012","spawn_biom_2013","spawn_biom_2014","spawn_biom_2015","spawn_biom_2016","spawn_biom_2017","spawn_biom_2018","spawn_biom_2019","spawn_biom_2020","spawn_biom_2021","log_mean_rec","spawn_biom_proj_2022","spawn_biom_proj_2023","spawn_biom_proj_2024","spawn_biom_proj_2025","spawn_biom_proj_2026","spawn_biom_proj_2027","spawn_biom_proj_2028","spawn_biom_proj_2029","spawn_biom_proj_2030","spawn_biom_proj_2031","spawn_biom_proj_2032","spawn_biom_proj_2033","spawn_biom_proj_2034","spawn_biom_proj_2035","spawn_biom_proj_2036","pred_catch_proj_2022","pred_catch_proj_2023","pred_catch_proj_2024","pred_catch_proj_2025","pred_catch_proj_2026","pred_catch_proj_2027","pred_catch_proj_2028","pred_catch_proj_2029","pred_catch_proj_2030","pred_catch_proj_2031","pred_catch_proj_2032","pred_catch_proj_2033","pred_catch_proj_2034","pred_catch_proj_2035","pred_catch_proj_2036","rec_proj_2022","rec_proj_2023","rec_proj_2024","rec_proj_2025","rec_proj_2026","rec_proj_2027","rec_proj_2028","rec_proj_2029","rec_proj_2030","rec_proj_2031","tot_biom_proj_2021"
1.00246,0.806349,1,0.0699787,0.07,39370.8,5466.73,448.302,26521.2,25031.8,24116.8,23827.3,23744.6,24509.8,25464.5,27553.8,29544.6,31600.9,33331.8,37251.9,39285.8,42983.8,47976.9,52714.2,54906.2,56626.5,58115.5,62458.6,65405.7,68773.8,73228.7,74326.2,77738.2,81688.7,83687.8,86880.1,90069.7,91863.2,92878.5,92418,92082.1,92137.8,93148.3,96240.6,96967.8,101376,103523,104838,104719,104104,103440,101917,100330,-0.531426,0.513016,-0.83376,-1.36076,-1.96974,-1.33349,-1.01199,0.965505,-0.603586,-0.912874,-1.45527,-1.30334,-1.67053,-1.4789,-0.788552,-1.57097,-1.17981,-1.59175,-2.09956,0.227756,-1.29578,-0.600437,-0.611778,-0.553934,-0.740385,-1.37878,1.01283,1.04738,0.630108,0.120358,1.41757,0.750778,-1.3438,-0.301626,1.81669,0.876216,1.96582,1.47215,1.42158,0.440089,1.0772,1.00333,2.16415,0.59889,1.68817,2.06521,-0.883916,1.94875,1.69356,1.00497,1.49976,1.38902,0.702885,0.550704,1.01919,1.19438,1.27679,1.92464,2.01,1.37563,2.23011,0.403762,0.173825,-0.381172,-0.309909,1.5317,-0.18978,0.597727,11450.7,10593.9,10116,9488.12,8705.76,8289.76,8046.54,7818.14,7817.21,8423.23,9256.14,10378.6,11085.6,11610.8,12722.4,13610.2,13875.5,14177.7,14964.3,16354.9,18105.6,19534.9,20623,21106.5,21788,22983.1,24020.9,25639.2,27483.2,29194.5,30845.8,31834.7,32746.2,33570.5,33856,34260.5,33562.6,33375.7,33318.9,33696.7,34480.3,35984.1,37352.2,38879.3,39998.4,0.777204,39370.8,38472,37048.7,35585,34264.2,33198.2,32506.7,32250.7,32365.2,32621.9,32752,32616,32269.1,31814.4,31270.8,5466.73,5252.09,4985.21,4750.93,4562.85,4395.55,4276.38,4251.89,4323.25,4428.56,4478.31,4434.57,4356.61,4294.63,4229.96,5.9979,11.1651,11.7248,12.7592,2.56496,2.3918,10.3284,4.72984,7.19562,3.77255,98492
1.00246,0.772712,1,0.0617073,0.07,42075.7,5163.96,442.386,26711.8,24648.8,23556.1,23628.4,23877,25370.2,26799.9,28951.9,31425.8,33647.9,35473.9,39142.2,40653.3,43650.9,48601.2,52846.3,55148.7,56779.8,58895.3,63560.8,66567.4,70255.1,74442.6,75896.9,78928.3,83856.6,86908.4,90804.2,94327.3,96848,98148.3,97130.8,96714,96817.2,98332.2,101123,102421,107077,109676,111886,112335,112314,111624,109740,107566,-0.440374,-0.76125,-1.08964,-1.08795,-1.54442,-1.38912,-0.473115,0.326651,-0.480268,-0.623906,-2.02473,-0.708549,-1.66521,-0.84719,-2.11027,-1.00579,-1.76873,-1.58566,-1.35273,-1.01326,-0.422891,-0.76868,-1.09861,-0.5856,-0.431634,-1.31403,0.669819,1.08137,0.900842,0.437288,0.913628,0.9613,-1.08076,-0.545371,1.55603,0.813377,1.92227,1.49772,1.03896,0.920776,0.596735,1.20643,1.96122,0.279502,1.55142,1.9951,-0.033874,1.73,1.85943,1.1103,1.23112,1.45,0.622887,0.461564,0.545253,1.31627,1.16408,1.80674,1.86346,1.39689,2.16778,0.572069,0.722332,-0.0548295,-0.193605,1.06335,-0.573837,0.51785,11725.5,10525,9883.81,9468.97,8747.64,8462.67,8200.7,8110.9,8185.61,8796.95,9668.82,10884.3,11524.3,11802.5,12804.3,13597.2,13685.3,13967.2,14757.1,16282.6,18133.6,19837.5,20914.1,21544.5,22185.5,23467.2,24607.4,26371.8,28081.8,30000.3,31793,32828.6,33825.6,34887.9,35605.6,36083.1,35687.8,35557.8,35560.7,36007.8,36741.6,38242.8,39719.1,41272.7,42436.4,0.893226,42075.7,41418,40143.6,38556.1,36831.3,35093.2,33420.2,31908.6,30637.6,29741,29259.3,29212.9,29528.3,30151.4,31095.9,5163.96,5037.04,4832.19,4608.41,4389.18,4170.21,3956.83,3760.55,3509.12,3292.49,3176.52,3176.05,3267.18,3394.31,3580.83,2.70356,2.24195,6.6723,3.60423,1.82923,19.2176,2.03608,4.89552,5.38724,23.9939,104575
1.00246,0.773451,1,0.0869388,0.07,38815.5,6633.95,443.583,25158.3,24357.9,23427.7,23905.9,23351.3,25837.8,27213.8,29102.1,31838.7,34430.3,36502.7,39764.9,41516,44137.3,48308.5,52244.8,54142.4,55982.6,57863.7,62364.6,65220.5,68625.4,73243.4,74661.8,78811.1,83596.2,87069.8,91198.7,94719,96720.2,97976.6,97227.8,95933.2,96670.6,98213.2,100280,101582,104639,106435,107563,107130,106030,105218,103279,100645,-0.701859,0.22967,-0.41967,-1.78958,-0.740136,-0.805322,-0.421394,-0.466542,-0.46971,-1.02649,-1.13844,-0.254192,-1.48502,-0.867227,-1.38527,-0.671987,-1.68336,-0.393207,-0.437883,-1.67845,0.00229411,-0.670613,-0.49658,-0.851059,-0.0681394,-1.00522,1.02693,0.49056,1.81065,0.131335,1.02418,1.10946,-0.301331,-0.942686,1.54301,0.843716,1.95989,1.76289,1.24283,0.986575,1.18728,1.00586,2.22134,0.692737,1.50587,2.26143,0.726739,1.92365,1.8983,1.51971,1.27168,1.41738,0.494771,0.630252,0.93595,1.16504,1.77318,1.94564,1.67524,1.7024,2.05987,0.692209,0.452685,0.766587,-0.44098,1.52878,-1.227,0.0749603,10528.8,9993.48,9493.81,9238.17,8502.61,8254.98,7933.68,7646.27,7775.47,8436.45,9422.48,10681.2,11702.6,12288.2,13177.8,13968.4,13945.7,14006.4,14569.7,15637.5,17073.6,18632.2,19749.2,20186.5,21180.5,22453.4,23609,25503.3,27421,29403.3,31441.9,32748.3,33697.5,34809.6,35437.8,35831.2,35347.4,34941.7,34837.9,35167.6,35507.1,36503.9,37483.6,38619.4,39311.4,0.716593,38815.5,37471.6,35873.5,34179.5,32571.6,31205,30251.8,29856,29936,30280.6,30731.1,31287.9,32015.4,32849.3,33560.4,6633.95,6362.19,6033.32,5709,5408.87,5136.61,4946.35,4912.38,5005.09,5100.67,5157.52,5228.29,5363.78,5573.23,5775.52,2.81442,24.3814,5.32611,5.4669,8.7831,9.18333,8.86789,25.6691,6.256,1.95169,97718.6
1.00246,0.756872,1,0.118308,0.07,37760.8,8768.19,445.161,28207.1,27264.4,26094.2,26123.8,25266.8,26920.6,28691.5,29084.9,31257.9,33688.7,35573,38213,39787.5,43424.6,47554,51988.6,53973.8,56323.2,58469.2,62606.4,65787.1,69148.3,73616.4,74583.5,77806.7,82272.4,84594.1,88017.7,90790,92447,93061.9,92702.1,91537.7,92385.8,93987,96064.7,97891.4,101626,103460,104951,104822,104554,103725,101991,99459.2,-0.940383,0.250913,0.225339,-1.01639,-1.55783,-1.96231,-0.375445,0.344825,0.0293553,-1.54948,-1.82973,0.149752,-0.870228,-1.04082,-1.48314,-1.68702,-0.96692,-0.543556,-0.538898,-0.883775,0.376329,-0.713836,-0.492184,-0.928931,-0.249859,-0.718781,0.772091,1.03628,1.43546,0.569398,0.52405,0.94651,0.14279,-0.489563,1.18136,0.89431,2.03781,1.71298,1.53949,0.816901,1.01402,1.3506,1.96484,0.868562,1.43669,2.10925,0.724449,1.61869,1.99709,1.22161,1.16012,1.46378,0.187178,0.517656,1.22396,1.13797,1.6627,1.89333,1.64388,1.92073,1.95693,0.275156,0.800873,1.03717,0.365924,0.96458,-0.878122,0.144438,11688,11077.7,10457.2,10140.5,9140.55,8821.66,8696.79,7949.33,7992.47,8601.03,9472.04,10630.1,11549.8,12363.1,13104.1,13713.7,13497.5,13622.9,13936.1,15001.8,16626.7,18386.5,19861.3,20394.3,21458,22652.8,23515.9,25161.6,26634.5,28356.4,29945.6,31042,31762.9,32757.7,33285.7,33598.7,33022.7,32865.4,32822.8,33195.2,33491.7,34623,35848.7,37222.8,38145.7,0.748581,37760.8,35935.8,33904.2,31743.8,29608.5,27631.9,25965.9,24711.6,23836.5,23205,22669.5,22141.2,21585.1,21005.3,20504.4,8768.19,8289.84,7760.58,7222.54,6691.41,6191.89,5790.11,5538.84,5409.78,5316.87,5213.9,5106.4,4969.89,4786.3,4619.33,4.87027,9.82468,8.38168,2.69654,7.5066,8.42269,1.50421,1.95943,6.10934,7.34947,96926.6
1.00246,0.658606,1,0.115262,0.07,41003.3,9296.51,448.557,29344,28307.3,27112.4,27132.3,27310.5,28748,30397.9,29649.9,32035.2,34118.8,35690.5,38575.7,40776.6,45517.7,50286.7,55671.6,58116.3,60431.1,63396.5,67911,71332.3,74684.5,79589.4,80556.3,84285.8,88875,91762.6,94534.1,97701.6,99666.9,100538,100315,99905.4,100758,102793,104791,107001,110233,111888,113619,113664,113451,111800,109313,105790,-0.440636,-0.461912,-0.300904,-0.319085,-0.463504,-1.41022,0.253954,-0.496584,-0.00442223,-1.83607,-0.389987,-0.831253,0.00091995,-1.15064,-1.41281,-1.48362,-1.36486,-1.28004,-1.03771,-1.77338,0.725255,-1.66328,-0.955351,-0.588937,-0.429252,-0.15779,0.564021,1.31052,1.03815,0.279369,0.552116,0.942413,-0.703005,-0.996756,1.4066,1.02485,2.10544,1.75236,1.45889,0.337285,1.17902,1.38991,1.92294,0.797227,1.33632,2.19898,0.244859,1.86173,1.93934,1.02829,1.07751,1.47947,0.137751,0.974873,1.05832,1.20917,1.558,2.04145,1.53352,2.04338,1.60662,0.126517,1.01504,0.958888,0.664607,0.198945,-1.00161,-1.66974,12415.7,11714.6,10941.4,10604.5,9850.32,9544.09,9449.78,8202.78,8384.47,9033.72,9955.97,11157,12201.9,13125,13733.5,14437.7,14315.9,14273,14972.7,16409.9,18442.6,20502.7,22099.8,22710.2,23684.6,24809.7,25925,27338,29027.1,31049.7,32767.4,34112,35221.2,36305.4,36756,36946.9,36202.5,36007.3,36028,36599.3,37215.6,38543.5,39862.2,41169.5,41976.3,0.813925,41003.3,38928.9,36521.3,33975.3,31424.4,29056,27120.9,25787.4,25000.3,24555.2,24347.5,24404.9,24757.8,25372.8,26118,9296.51,8749.49,8165.21,7551.83,6918.59,6323.63,5877.46,5657.95,5579.69,5498.99,5433.9,5453.49,5556.19,5745.29,6007.02,3.49174,17.7129,3.44464,2.74678,10.2205,8.78075,7.05365,11.7205,19.8134,2.47367,101818
1.00246,0.610961,1,0.111474,0.07,39642.8,8730.55,446.61,31149.6,29945.8,28996.3,29286.3,28103.7,30635.9,32355.6,33087.9,35788.5,38118.7,39777.1,42452.2,44595.9,49250.7,54989.8,60426.4,63311.5,66235.1,69349.1,73940.6,77317.6,80311.9,84942.5,85541.5,87534.4,91703.6,94206.7,97063.2,100140,101881,102736,102234,100859,100502,101404,103433,103037,106144,107326,108423,109011,110060,109150,107854,105278,0.126941,-0.349474,0.283981,0.289049,0.0640965,-1.68697,-0.302442,-0.0547005,0.478857,-0.615068,-1.35499,-1.1555,-1.54188,-1.9941,-0.147986,0.0416673,-0.767298,-1.5428,-0.751387,-1.69353,0.00325153,-0.943167,0.0267312,-0.289062,-0.275562,-0.58695,1.03633,0.232383,1.88984,0.0341425,0.510239,1.04691,-0.346492,-1.43878,1.29499,1.2004,2.1953,2.01033,1.28936,1.12381,1.14969,1.45808,1.98438,0.531161,1.30087,2.24597,0.50643,1.81132,1.9625,1.03822,1.28565,1.62824,-0.220552,0.924253,0.929373,0.95674,1.37265,1.98118,1.95831,1.19135,2.07405,0.4142,0.911229,1.37624,1.39503,-0.877567,-0.258244,-1.37908,13269.7,12537.1,11934.4,11480.3,10437.7,10054.8,9863.83,9223.78,9444.98,10101.4,11049.8,12335.2,13502.3,14538.6,15445.7,16276.2,16015.7,16079.6,16683.1,18085,20278.4,22479.8,24269.4,24963.9,25491,26603.7,27631.4,28974.2,30422.5,32250,33882,35115.8,35973.8,36858.4,37236,37326.8,36302.6,35830.5,35423.1,35446.8,35696.1,36699.6,37857.7,39180,40129.1,0.768663,39642.8,38145.9,36397,34518.4,32660.2,31147.4,30497.4,31131.5,33054.9,35609.2,37759.3,38874.3,39032.4,38613.6,37917.7,8730.55,8345.61,7938.5,7478.61,6963.09,6507.5,6313.11,6583.02,7348.78,8236.15,8736.75,8796.94,8663.93,8490.8,8288.07,7.99049,13.1079,52.7709,11.8883,6.82842,2.15734,17.07,4.76613,8.83651,7.05252,103257
1.00246,0.752639,1,0.149295,0.07,38521.2,10776,439.34,23601.1,22625.5,22007,22332.6,21573.1,23132.7,24488.5,26254.7,28927.5,31506.5,33547.9,36663,39458.6,43994.4,48875,53999,56846.6,59126.1,62073.3,66294.4,69006.9,71730,75794.5,76188.4,78336.7,82394.2,84983.7,88018,90858.1,92380.3,93812.8,93893.8,92691.5,92096.9,93352.2,95009.4,95002.8,97720.3,99148.8,101540,101766,102536,101136,99596.6,97010.1,-1.40066,-1.73078,0.0425953,-0.773581,0.242384,-0.909193,-0.0385721,-0.374299,-0.224301,-1.25557,-1.72487,-1.77523,-0.694505,-0.876961,-0.856764,-0.254814,-0.342443,-1.76383,-1.14123,-2.0139,-1.40834,-1.17823,0.0379274,-0.731809,-0.268932,-0.503171,1.05773,0.328207,1.65951,-0.350886,1.32358,1.06334,0.138209,-1.65722,1.46783,1.27428,2.11197,1.84669,1.48141,1.27492,0.98364,1.45757,2.11148,-0.167685,1.42937,2.24978,0.212947,1.9369,1.99127,1.05583,1.41061,1.65863,-0.125698,1.08678,0.948679,1.15398,1.29482,2.03161,1.88203,1.52336,2.21498,0.413629,1.55356,0.200499,1.10465,-1.03611,-0.00576662,-0.0846258,10484.1,9888.63,9421.46,8957.13,8029.57,7484.59,7343.67,7015.6,7258.61,7966.09,9039.03,10368,11662.5,12802.5,13782,14766.4,14774.5,14999.3,15967.9,17442.4,19544.5,21465.5,22870.5,23336.2,23809.3,24930.7,26014,27372.9,28704.8,30366.3,32111.1,33487.9,34184.3,34827.3,35231.7,35225.9,34193.5,33432.3,33156.2,33482.5,34024.6,35371.4,36644.4,38103.6,39064.8,0.666006,38521.2,35849.8,33014.4,30071.3,27195.7,24583.3,22447.1,20913.7,20083.8,20010.2,20542.6,21307.7,21900.5,21986.2,21361.5,10776,10050.2,9233.28,8381.59,7530.67,6749.74,6106.63,5632.72,5353.55,5333.95,5564.45,5876.94,6142.89,6257.26,6068.91,3.93431,3.73381,3.18354,11.8874,15.4938,2.14528,21.2386,0.913976,1.70047,1.85202,94221
1.00246,0.705457,1,0.115234,0.07,44324.6,9826.13,437.043,24005.7,23591.9,23214,23614.3,24158.8,25109.6,26064.5,27390.8,29842,32341.5,34200,37386.6,40260.1,44817.9,50220.4,55931.4,58877.3,61354.3,64454.6,68113.2,70946.6,73726,78561.6,79573.3,82157.3,86746.6,90073.6,93476.4,96753.3,98629.8,100222,99897.9,99266.4,99350.9,101435,103201,104839,109398,111949,115077,116074,116345,114883,112874,109572,-1.06213,-1.77693,-0.647055,-0.867662,0.539119,-1.44231,-0.814745,-1.34584,-0.533961,-0.642478,-1.40776,-1.31079,-1.32285,-0.734084,-1.20007,-0.740908,-0.425366,-1.9195,-0.527923,-1.37209,-1.51276,-0.360322,0.587627,-0.779362,-0.464634,-0.119368,0.76532,0.973404,1.05983,-0.163809,1.25645,1.02307,0.38066,-1.84984,1.52926,1.40389,2.00912,1.82692,1.75084,1.00745,0.938343,1.40261,1.95346,0.548173,1.46887,2.37295,-0.0176112,1.87095,1.93419,1.3584,1.34616,1.52425,-0.279386,1.21743,0.820823,1.24758,1.66301,2.16362,1.75377,1.92794,2.34448,-0.283476,1.70198,-0.074063,-0.122507,-0.958918,-0.590245,-1.42233,10089.6,9679.99,9239.89,8936.53,8518.46,8147.78,8069.24,7786.13,8088.77,8772.01,9722.33,10867.6,11843,12791.6,13832.8,14743.8,14792.6,15097.8,16172.8,17623.5,19805.5,21835.7,23388.4,24040.4,24563,25801.7,26987.7,28540.6,30290.3,32365,34306.6,35664,36681.5,37400.4,37797.1,37647.5,36724.9,36184.7,36251.3,36729.6,37808.2,39657.1,41605.8,43702,45206.4,0.710525,44324.6,42193.1,39240.3,35949.7,32629.4,29545.9,26934.3,24963.7,23731.6,23310.4,23588.6,24160.2,24571.2,24682.3,24535,9826.13,9306.39,8620.25,7845.26,7064.42,6340.56,5726.4,5260.17,4950.3,4842.51,4990.27,5241.49,5362.67,5373.5,5350.98,2.88321,5.29702,0.722948,9.33158,21.7993,3.80157,3.3975,11.4665,6.11615,3.14519,105211
1.00246,0.771527,1,0.110417,0.07,38289.8,8268.4,429.424,23750.9,23454.9,22964,23070.4,23873.9,24692.3,25529.7,26797.8,28997,31478.4,33354.4,36761.3,38895.6,43230.6,48024.5,53491.9,55595.1,57623,59706.6,63708.5,66384.7,68646.9,72969.9,73811.2,76262.3,80589.7,83585.1,86642.6,89694.8,91498.9,92535.3,92031.1,91021.1,91128.5,91806.8,93337.5,94171.4,97505.8,99888.1,101823,102685,102814,101039,99219.4,96255.7,-1.08716,-1.92792,-0.376978,-0.820863,0.332768,-1.37225,-0.957319,-2.01681,0.0359874,0.120553,-1.89046,-1.18159,-1.7699,-1.53122,-0.569313,-0.552181,-1.30381,-0.903927,-0.662639,-1.26959,-0.777459,-0.092876,0.451329,-0.928007,-0.384782,-0.762399,0.708427,1.3927,0.904332,-0.323721,1.25653,1.19697,0.214089,-1.5893,1.67042,0.897407,2.1623,1.83156,1.69668,0.183362,1.02707,1.04246,2.17457,0.501891,1.32965,2.38295,-0.00947388,1.87023,1.98083,1.19956,1.43503,1.52437,-0.0305568,0.732063,1.18542,1.27077,1.38491,1.87069,1.85523,1.81479,2.32974,0.747282,1.21381,0.725676,-0.330557,-0.97464,-0.512139,-1.28752,9925.46,9579.6,9201.01,8886.71,8461.63,8069.96,7926.24,7616.13,7719.2,8403.59,9352.43,10515.3,11433.3,12251.4,13096.3,14060.4,14154.1,14472.8,15441.3,16889.4,18862.7,20555.6,21731.6,22121.7,22484.4,23522.6,24644.5,26018.1,27622,29510.4,31305.3,32402.7,33133.4,34012.3,34289.5,34298.4,33460.6,32734.9,32639.5,32776.3,33355.9,34668.1,35958.9,37669.7,38956.8,0.662074,38289.8,36594.6,34296.9,31683.9,29013,26536.3,24471.2,22942.7,21953.2,21400,21195.9,21358,21942.1,22887.7,23963.3,8268.4,7857.19,7308.52,6683.37,6047.87,5462.1,4982.85,4658.98,4490.56,4409.82,4331.19,4333.99,4451.91,4726.83,5090.51,2.7554,5.16153,8.38844,5.10615,3.16032,7.16227,9.28627,12.4021,18.0322,3.79491,92194.4
1.00246,0.642015,1,0.155848,0.07,41385.2,12613.7,436.743,25387.2,24812.6,24058.2,24764.6,25500.4,26705.1,27649.5,28977.4,31088.6,33926.6,35986.5,39379.4,41195.8,45967.6,50584.4,56019,58061.2,60253.5,62093.9,66083.4,68755.1,71293.5,75755.3,77449,80440.4,84735.3,88185,91214.1,94752.2,96809.6,98179.5,98141.5,97191.4,97149.7,97798.4,100432,101056,106077,108805,110394,111149,111168,109942,107711,104719,0.182876,-1.84802,-1.00295,-1.78793,0.58599,-0.93683,-1.13991,-1.12766,-0.217213,-0.288277,-1.28821,-0.917944,-1.82718,-1.80754,-0.373651,-0.327361,-1.09113,-0.469343,-0.702463,-0.0286595,-0.961098,0.101966,0.0200259,-0.809477,-0.195104,-0.641633,1.42399,0.530027,1.4196,0.0577359,1.32747,0.580546,0.813514,-0.998526,1.62449,0.749195,2.26101,1.77505,1.66935,0.019442,1.17343,0.836,2.21433,0.566302,1.31338,2.4645,0.112432,1.9323,1.79898,1.58599,1.33665,1.61002,0.705503,0.742072,1.13815,1.48875,1.27492,1.83109,2.14893,1.62764,2.64659,0.0313175,0.0416329,0.858829,0.450374,-0.000426987,-1.36319,-1.37514,10321.8,9913.35,9494.84,9155.95,8971.46,8521.4,8271.94,7860.28,8148.2,8955.67,10006,11235.9,12146.2,13110.1,13941.3,14944.5,15109.9,15491.1,16390.6,17700.9,19517.8,21235.4,22323.1,23050.4,23568.5,24719.1,25817.5,27179.4,28925.4,30730.3,32576.4,33845,34454.3,35330.9,35777.1,36157.5,35512.5,35078.5,35115.2,35388.5,36012,37291.4,38854.8,40541.7,41954.8,0.662904,41385.2,38144.5,34784.7,31453.3,28397.6,25841.6,23922.8,22606,21668.8,20863,19980.4,18942.5,17792.7,16674.4,15789.3,12613.7,11497.9,10338.1,9222.8,8181.22,7309.89,6752.42,6504.68,6383.88,6265.05,6061.63,5720.02,5275.13,4717.9,4184.52,12.063,6.76485,8.11329,7.70239,4.43695,2.38217,0.508746,2.92667,3.52188,8.05758,102573
