Alt Stock Year ABC OFL Catch SSB F Total_Biom
1 Model_1_goa_dr_2022.dat 2020 8.03085 9.77804 2.55641 44.9747 0.0282297 109.619
1 Model_1_goa_dr_2022.dat 2021 7.90817306 9.62769241 7.90817306 44.1882671 0.091336 107.047408
1 Model_1_goa_dr_2022.dat 2022 7.25365631 8.83052022 7.25365631 40.8269403 0.091336 99.5208219
1 Model_1_goa_dr_2022.dat 2023 6.6097066 8.0463098 6.6097066 37.4284307 0.091336 93.4293536
1 Model_1_goa_dr_2022.dat 2024 5.98503357 7.28570453 5.98503357 34.180704 0.091336 88.6847577
1 Model_1_goa_dr_2022.dat 2025 5.41316852 6.58980002 5.41316852 31.2778069 0.091336 85.1837667
1 Model_1_goa_dr_2022.dat 2026 4.94483594 6.02047822 4.94483594 28.901823 0.091336 82.8294718
1 Model_1_goa_dr_2022.dat 2027 4.62075986 5.62358346 4.62075986 27.1702679 0.0910998417 81.4477178
1 Model_1_goa_dr_2022.dat 2028 4.36013401 5.3032645 4.36013401 26.0952836 0.0886380771 80.7544871
1 Model_1_goa_dr_2022.dat 2029 4.23731889 5.15457125 4.23731889 25.5736101 0.0866907758 80.6417674
1 Model_1_goa_dr_2022.dat 2030 4.20624475 5.11729319 4.20624475 25.4057681 0.0857124759 80.7698211
1 Model_1_goa_dr_2022.dat 2031 4.21598554 5.12958659 4.21598554 25.4289482 0.0853532227 81.0541593
1 Model_1_goa_dr_2022.dat 2032 4.2438729 5.16382544 4.2438729 25.5424583 0.0853553244 81.3154536
1 Model_1_goa_dr_2022.dat 2033 4.28085419 5.20910045 4.28085419 25.6955316 0.0855113281 81.590424
2 Model_1_goa_dr_2022.dat 2020 8.03085 9.77804 2.55641 44.9747 0.0282297 109.619
2 Model_1_goa_dr_2022.dat 2021 7.90817306 9.62769241 7.90817306 44.1882671 0.091336 107.047408
2 Model_1_goa_dr_2022.dat 2022 7.25365631 8.83052022 7.25365631 40.8269403 0.091336 99.5208219
2 Model_1_goa_dr_2022.dat 2023 6.6097066 8.0463098 6.6097066 37.4284307 0.091336 93.4293536
2 Model_1_goa_dr_2022.dat 2024 5.98503357 7.28570453 5.98503357 34.180704 0.091336 88.6847577
2 Model_1_goa_dr_2022.dat 2025 5.41316852 6.58980002 5.41316852 31.2778069 0.091336 85.1837667
2 Model_1_goa_dr_2022.dat 2026 4.94483594 6.02047822 4.94483594 28.901823 0.091336 82.8294718
2 Model_1_goa_dr_2022.dat 2027 4.62075986 5.62358346 4.62075986 27.1702679 0.0910998417 81.4477178
2 Model_1_goa_dr_2022.dat 2028 4.36013401 5.3032645 4.36013401 26.0952836 0.0886380771 80.7544871
2 Model_1_goa_dr_2022.dat 2029 4.23731889 5.15457125 4.23731889 25.5736101 0.0866907758 80.6417674
2 Model_1_goa_dr_2022.dat 2030 4.20624475 5.11729319 4.20624475 25.4057681 0.0857124759 80.7698211
2 Model_1_goa_dr_2022.dat 2031 4.21598554 5.12958659 4.21598554 25.4289482 0.0853532227 81.0541593
2 Model_1_goa_dr_2022.dat 2032 4.2438729 5.16382544 4.2438729 25.5424583 0.0853553244 81.3154536
2 Model_1_goa_dr_2022.dat 2033 4.28085419 5.20910045 4.28085419 25.6955316 0.0855113281 81.590424
3 Model_1_goa_dr_2022.dat 2020 4.10188 9.77804 2.55641 44.9747 0.0282297 109.619
3 Model_1_goa_dr_2022.dat 2021 4.04012563 9.62769241 4.04012563 44.5119134 0.045668 107.047408
3 Model_1_goa_dr_2022.dat 2022 3.86908253 9.21872028 3.86908253 42.9289774 0.045668 103.3699993
3 Model_1_goa_dr_2022.dat 2023 3.67735688 8.76074087 3.67735688 41.0429221 0.045668 100.4735462
3 Model_1_goa_dr_2022.dat 2024 3.46983464 8.26555843 3.46983464 39.0336791 0.045668 98.310117
3 Model_1_goa_dr_2022.dat 2025 3.26476379 7.77756496 3.26476379 37.1060512 0.045668 96.8301151
3 Model_1_goa_dr_2022.dat 2026 3.09048124 7.3647313 3.09048124 35.4667377 0.045668 96.0099109
3 Model_1_goa_dr_2022.dat 2027 2.97737013 7.09909922 2.97737013 34.2717755 0.045668 95.7712158
3 Model_1_goa_dr_2022.dat 2028 2.93438963 6.99984095 2.93438963 33.579658 0.045668 95.9428151
3 Model_1_goa_dr_2022.dat 2029 2.93732205 7.00825162 2.93732205 33.3145332 0.045668 96.4318643
3 Model_1_goa_dr_2022.dat 2030 2.95997086 7.06252093 2.95997086 33.3389437 0.045668 97.0073224
3 Model_1_goa_dr_2022.dat 2031 2.98790714 7.12894136 2.98790714 33.5315661 0.0456678843 97.6689096
3 Model_1_goa_dr_2022.dat 2032 3.0162701 7.19637527 3.0162701 33.8079053 0.0456647524 98.2765976
3 Model_1_goa_dr_2022.dat 2033 3.04556369 7.26615418 3.04556369 34.1221577 0.0456580182 98.885503
4 Model_1_goa_dr_2022.dat 2020 2.74751 9.77804 2.55641 44.9747 0.0282297 109.619
4 Model_1_goa_dr_2022.dat 2021 2.70634431 9.62769241 2.70634431 44.6208668 0.0303705 107.047408
4 Model_1_goa_dr_2022.dat 2022 2.62954034 9.35265147 2.62954034 43.6578409 0.0303705 104.697623
4 Model_1_goa_dr_2022.dat 2023 2.53491215 9.01452611 2.53491215 42.333434 0.0303705 102.9748502
4 Model_1_goa_dr_2022.dat 2024 2.42534878 8.62380378 2.42534878 40.8171685 0.0303705 101.8277147
4 Model_1_goa_dr_2022.dat 2025 2.31287046 8.22438193 2.31287046 39.3099373 0.0303705 101.2090277
4 Model_1_goa_dr_2022.dat 2026 2.21659779 7.88484062 2.21659779 38.0198989 0.0303705 101.1059623
