item,y1,y2,y3,y4
M (natural mortality),0.07,0.07,0.07,0.07
Tier,3a,3a,3a,3a
Projected total (age 4+) biomass (t) ,95682,92310,107160,104627
Projected female spawning biomas (t),38371,36853,44651,44651
B100%,60855,60855,65565,65565
B40%,24342,24342,26226,26226
B35%,21299,21299,22948,22948
FOFL,0.114,0.114,0.11,0.11
maxFABC,0.093,0.093,0.09,0.09
FABC,0.093,0.093,0.09,0.09
OFL (t),8614,8146,9638,9154
maxABC (t),7069,6686,7917,7520
ABC (t),5372,5181,7917,7520
blank,NA,NA,NA,NA
Status,2020,2021,2021,2022
Overfishing,NA,NA,NA,NA
Overfished,NA,NA,NA,NA
Approaching overfished,NA,NA,NA,NA
