"","obs","pred"
"1",388,710.525
"2",162,426.87
"3",224,494.588
"4",597,827.795
"5",845,987.415
"6",853,971.31
"7",1017,1061.04
"8",510,694.687
"9",34,163.366
"10",17,117.953
"11",19,130.759
"12",1067,1041.28
"13",1707,1368.8
"14",1612,1111.65
"15",2187.16,1281.45
"16",3531.91,3235.74
"17",3181.94,2947.5
"18",2979.62,2798.42
"19",2881.88,2742.26
"20",2290.33,2251.8
"21",2466.62,2436.05
"22",3109.15,3059.93
"23",4658.44,4533.23
"24",3728.36,3660.88
"25",3006.01,2950.43
"26",3320.8,3257.67
"27",3055.77,3015.4
"28",2688.43,2675.72
"29",2236.41,2261.03
"30",2452.87,2479.72
"31",3384.59,3400.37
"32",3644.08,3661.27
"33",3074.69,3090.44
"34",3141.98,3152.57
"35",2540.36,2556.79
"36",4010.49,3955.85
"37",3158.25,3162.91
"38",3062.06,3064.47
"39",2779.84,2804.43
"40",3322.13,3324.64
"41",2621.1,2644.41
"42",2908.58,2919.2
"43",2489.23,2523.29
"44",2198.19,2241.36
"45",2928.45,2956.79
