year,maxf,authf,half_maxf,avg5f,nof,overf,appoverf
2022,45055.6,45055.6,45055.6,45055.6,45055.6,45055.6,45055.6
2023,44621.6,44621.6,44621.6,44621.6,44621.6,44111.2,44259.2
2024,42899.799999999996,43196.8,43215.8,43320.799999999996,43534.2,39962.6,40892.899999999994
2025,39276.6,41199.9,41312,42008,43456.299999999996,35940.3,37362.8
2026,35809.9,38869,39283.299999999996,40506.2,43108.5,32222.299999999996,33453.5
2027,32702,35393.3,37335.700000000004,39015.2,42669.2,28985.800000000003,30041.699999999997
2028,30139.600000000002,32488.9,35677.2,37742.3,42336,26394.9,27291.1
2029,28240.9,30279.3,34464.3,36850.700000000004,42275.799999999996,24576.6,25311.699999999997
2030,27010.100000000002,28766.9,33756,36414,42585,23579.100000000002,24148.1
2031,26330.8,27817,33476.5,36373.8,43235.799999999996,23163.399999999998,23603.5
2032,26028.5,27260.2,33488.100000000006,36605.8,44128.100000000006,23084.6,23424.399999999998
2033,25940.5,26954,33669.3,36995.8,45160.9,23171.7,23433
2034,25963.100000000002,26793.9,33935.5,37461,46254.5,23325.8,23526
2035,26042,26721.800000000003,34240.6,37955.3,47361.2,23501,23653.8
