species_group_name,2020,2021,2022,2023,2024
Arrowtooth Flounder,890,2523,2823,860,1278
Atka Mackerel,602,674,867,459,380
"BSAI Skate and GOA Skate, Other",10,19,14,22,11
Flathead Sole,95,135,74,32,62
GOA Deep Water Flatfish,19,19,35,16,12
GOA Demersal Shelf Rockfish,11,5,5,7,7
GOA Dusky Rockfish,2061,2669,2483,3101,2079
GOA Rex Sole,189,99,132,73,83
GOA Shallow Water Flatfish,22,33,30,32,22
"GOA Skate, Big",6,4,6,8,4
"GOA Skate, Longnose",24,31,31,30,21
GOA Thornyhead Rockfish,138,113,215,123,88
Halibut,2,0,1,3,3
Northern Rockfish,2317,2303,1813,1279,1048
Octopus,1,1,1,1,2
Other Rockfish,522,975,869,751,268
Pacific Cod,170,660,670,447,350
Pacific Ocean Perch,22881,27399,26358,26665,21998
Pollock,647,1559,1588,2074,2407
Rougheye Rockfish,89,162,221,210,156
Sablefish,647,893,995,809,649
Sculpin,30,NA,NA,NA,NA
Shark,33,32,17,6,31
Shortraker Rockfish,225,240,181,237,212
