"year","F_vec"
1977,0.0287741
1978,0.0180372
1979,0.0216739
1980,0.0378578
1981,0.0473793
1982,0.0487969
1983,0.0555718
1984,0.0372305
1985,0.00856389
1986,0.00573936
1987,0.00571018
1988,0.0413437
1989,0.0506988
1990,0.039135
1991,0.0434843
1992,0.109874
1993,0.102496
1994,0.0948504
1995,0.0853632
1996,0.0609942
1997,0.0569602
1998,0.0645344
1999,0.0919067
2000,0.0734672
2001,0.0575969
2002,0.0607446
2003,0.0536291
2004,0.0452417
2005,0.0357993
2006,0.0368977
2007,0.0483177
2008,0.0500175
2009,0.0407129
2010,0.0405204
2011,0.0323255
2012,0.0501416
2013,0.0409023
2014,0.0404277
2015,0.0374304
2016,0.044445
2017,0.0348641
2018,0.0374144
2019,0.0312988
2020,0.0267239
2021,0.0343688
2022,0.0301653
2023,0.0404826
2024,0.0260878
