"index","name","value","std_dev"
"1","log_mean_rec","1.0383e+00","1.3608e-01"
"2","sigr","9.5571e-01","1.0205e-01"
"3","a50","1.0043e+01","1.4658e-01"
"4","delta","2.4460e+00","1.8503e-01"
"5","a50_mat","1.0337e+01","2.5777e-01"
"6","delta_mat","6.5956e-01","5.2437e-02"
"7","a50_srv1","9.2311e+00","3.1918e-01"
"8","delta_srv1","4.6706e+00","4.4246e-01"
"9","log_avg_F","-3.2224e+00","1.3199e-01"
"10","log_F_devs","-3.2592e-01","3.8220e-01"
"11","log_F_devs","-7.9296e-01","3.7296e-01"
"12","log_F_devs","-6.0929e-01","3.7389e-01"
"13","log_F_devs","-5.1559e-02","3.8284e-01"
"14","log_F_devs","1.7279e-01","3.8853e-01"
"15","log_F_devs","2.0227e-01","3.8930e-01"
"16","log_F_devs","3.3228e-01","3.9404e-01"
"17","log_F_devs","-6.8267e-02","3.8095e-01"
"18","log_F_devs","-1.5378e+00","3.6282e-01"
"19","log_F_devs","-1.9380e+00","3.6000e-01"
"20","log_F_devs","-1.9431e+00","3.5846e-01"
"21","log_F_devs","3.6522e-02","3.5863e-01"
"22","log_F_devs","2.4051e-01","3.5770e-01"
"23","log_F_devs","-1.8380e-02","3.2987e-01"
"24","log_F_devs","8.7002e-02","3.2596e-01"
"25","log_F_devs","1.0139e+00","1.3124e-01"
"26","log_F_devs","9.4443e-01","1.3101e-01"
"27","log_F_devs","8.6690e-01","1.3042e-01"
"28","log_F_devs","7.6152e-01","1.3005e-01"
"29","log_F_devs","4.2538e-01","1.3054e-01"
"30","log_F_devs","3.5696e-01","1.3024e-01"
"31","log_F_devs","4.8180e-01","1.2951e-01"
"32","log_F_devs","8.3538e-01","1.2879e-01"
"33","log_F_devs","6.1144e-01","1.2827e-01"
"34","log_F_devs","3.6807e-01","1.2783e-01"
"35","log_F_devs","4.2128e-01","1.2747e-01"
"36","log_F_devs","2.9669e-01","1.2724e-01"
"37","log_F_devs","1.2662e-01","1.2706e-01"
"38","log_F_devs","-1.0747e-01","1.2715e-01"
"39","log_F_devs","-7.7248e-02","1.2692e-01"
"40","log_F_devs","1.9240e-01","1.2683e-01"
"41","log_F_devs","2.2698e-01","1.2678e-01"
"42","log_F_devs","2.1148e-02","1.2663e-01"
"43","log_F_devs","1.6409e-02","1.2662e-01"
"44","log_F_devs","-2.0954e-01","1.2670e-01"
"45","log_F_devs","2.2945e-01","1.2670e-01"
"46","log_F_devs","2.5790e-02","1.2768e-01"
"47","log_F_devs","1.4118e-02","1.2823e-01"
"48","log_F_devs","-6.2913e-02","1.2926e-01"
"49","log_F_devs","1.0886e-01","1.2997e-01"
"50","log_F_devs","-1.3394e-01","1.3104e-01"
"51","log_F_devs","-6.3341e-02","1.3193e-01"
