"","year","age","value","groups","Age","Year","eff_N","N_tmp"
"1",1990,4,0.00749876,"obs","4","1990",25.8961,12.3657
"2",1990,5,0.00535624,"obs","5","1990",25.8961,12.3657
"3",1990,6,0.00259833,"obs","6","1990",25.8961,12.3657
"4",1990,7,0.00101613,"obs","7","1990",25.8961,12.3657
"5",1990,8,0.00114422,"obs","8","1990",25.8961,12.3657
"6",1990,9,0.00665372,"obs","9","1990",25.8961,12.3657
"7",1990,10,0.115212,"obs","10","1990",25.8961,12.3657
"8",1990,11,0.134419,"obs","11","1990",25.8961,12.3657
"9",1990,12,0.0856861,"obs","12","1990",25.8961,12.3657
"10",1990,13,0.113335,"obs","13","1990",25.8961,12.3657
"11",1990,14,0.171284,"obs","14","1990",25.8961,12.3657
"12",1990,15,0.138878,"obs","15","1990",25.8961,12.3657
"13",1990,16,0.0423845,"obs","16","1990",25.8961,12.3657
"14",1990,17,0.0148929,"obs","17","1990",25.8961,12.3657
"15",1990,18,0.0549978,"obs","18","1990",25.8961,12.3657
"16",1990,19,0.035179,"obs","19","1990",25.8961,12.3657
"17",1990,20,0.0086986,"obs","20","1990",25.8961,12.3657
"18",1990,21,0.0197196,"obs","21","1990",25.8961,12.3657
"19",1990,22,0.00675761,"obs","22","1990",25.8961,12.3657
"20",1990,23,0,"obs","23","1990",25.8961,12.3657
"21",1990,24,0.0011716,"obs","24","1990",25.8961,12.3657
"22",1990,25,0,"obs","25","1990",25.8961,12.3657
"23",1990,26,0,"obs","26","1990",25.8961,12.3657
"24",1990,27,0,"obs","27","1990",25.8961,12.3657
"25",1990,28,0,"obs","28","1990",25.8961,12.3657
"26",1990,29,0.000673625,"obs","29","1990",25.8961,12.3657
"27",1990,30,0.032443,"obs","30","1990",25.8961,12.3657
"28",1993,4,0.00431989,"obs","4","1993",45.963,65.9036
"29",1993,5,0.0576608,"obs","5","1993",45.963,65.9036
"30",1993,6,0.0937446,"obs","6","1993",45.963,65.9036
"31",1993,7,0.194239,"obs","7","1993",45.963,65.9036
"32",1993,8,0.0894061,"obs","8","1993",45.963,65.9036
"33",1993,9,0.119418,"obs","9","1993",45.963,65.9036
"34",1993,10,0.0307232,"obs","10","1993",45.963,65.9036
"35",1993,11,0.0320678,"obs","11","1993",45.963,65.9036
"36",1993,12,0.0199604,"obs","12","1993",45.963,65.9036
"37",1993,13,0.0481039,"obs","13","1993",45.963,65.9036
"38",1993,14,0.0216945,"obs","14","1993",45.963,65.9036
"39",1993,15,0.0387445,"obs","15","1993",45.963,65.9036
"40",1993,16,0.0449099,"obs","16","1993",45.963,65.9036
"41",1993,17,0.041586,"obs","17","1993",45.963,65.9036
"42",1993,18,0.0160985,"obs","18","1993",45.963,65.9036
"43",1993,19,0.0154782,"obs","19","1993",45.963,65.9036
"44",1993,20,0.00961773,"obs","20","1993",45.963,65.9036
"45",1993,21,0.0113435,"obs","21","1993",45.963,65.9036
"46",1993,22,0.00883019,"obs","22","1993",45.963,65.9036
"47",1993,23,0.00916354,"obs","23","1993",45.963,65.9036
"48",1993,24,0.014702,"obs","24","1993",45.963,65.9036
"49",1993,25,0.00915349,"obs","25","1993",45.963,65.9036
"50",1993,26,0.00689038,"obs","26","1993",45.963,65.9036
"51",1993,27,0.00305636,"obs","27","1993",45.963,65.9036
"52",1993,28,0.00546995,"obs","28","1993",45.963,65.9036
"53",1993,29,0.00262945,"obs","29","1993",45.963,65.9036
"54",1993,30,0.0509876,"obs","30","1993",45.963,65.9036
"55",1996,4,0.0126405,"obs","4","1996",61.8151,76.9552
"56",1996,5,0.00702311,"obs","5","1996",61.8151,76.9552
"57",1996,6,0.0134528,"obs","6","1996",61.8151,76.9552
"58",1996,7,0.00361493,"obs","7","1996",61.8151,76.9552
"59",1996,8,0.0249786,"obs","8","1996",61.8151,76.9552
"60",1996,9,0.0493152,"obs","9","1996",61.8151,76.9552
"61",1996,10,0.1881,"obs","10","1996",61.8151,76.9552
"62",1996,11,0.110755,"obs","11","1996",61.8151,76.9552
"63",1996,12,0.147579,"obs","12","1996",61.8151,76.9552
"64",1996,13,0.0448098,"obs","13","1996",61.8151,76.9552
"65",1996,14,0.0294908,"obs","14","1996",61.8151,76.9552
"66",1996,15,0.0328732,"obs","15","1996",61.8151,76.9552
"67",1996,16,0.014819,"obs","16","1996",61.8151,76.9552
"68",1996,17,0.0180008,"obs","17","1996",61.8151,76.9552
"69",1996,18,0.0517408,"obs","18","1996",61.8151,76.9552
"70",1996,19,0.0410766,"obs","19","1996",61.8151,76.9552
"71",1996,20,0.0446014,"obs","20","1996",61.8151,76.9552
"72",1996,21,0.0185556,"obs","21","1996",61.8151,76.9552
"73",1996,22,0.0157464,"obs","22","1996",61.8151,76.9552
"74",1996,23,0.0229229,"obs","23","1996",61.8151,76.9552
"75",1996,24,0.0106491,"obs","24","1996",61.8151,76.9552
"76",1996,25,0.0149318,"obs","25","1996",61.8151,76.9552
"77",1996,26,0.0236587,"obs","26","1996",61.8151,76.9552
"78",1996,27,0.0107015,"obs","27","1996",61.8151,76.9552
