year,maxf,authf,half_maxf,avg5f,nof,overf,appoverf
2024,0.03,0.03,0.03,0.03,0.03,0.03,0.03
2025,0.09,0.043,0.045,0.036,0,0.111,0.09
2026,0.09,0.041,0.045,0.036,0,0.111,0.09
2027,0.09,0.09,0.045,0.036,0,0.111,0.111
2028,0.09,0.09,0.045,0.036,0,0.111,0.111
2029,0.09,0.09,0.045,0.036,0,0.107,0.111
2030,0.087,0.09,0.045,0.036,0,0.098,0.101
2031,0.083,0.089,0.045,0.036,0,0.093,0.095
2032,0.08,0.085,0.045,0.036,0,0.09,0.092
2033,0.08,0.084,0.045,0.036,0,0.09,0.091
2034,0.081,0.084,0.045,0.036,0,0.091,0.092
2035,0.082,0.084,0.045,0.036,0,0.092,0.093
2036,0.083,0.085,0.045,0.036,0,0.094,0.095
2037,0.084,0.086,0.045,0.036,0,0.096,0.096
