"name","1990","1993","1996","1999","2001","2003","2005","2007","2009","2011","2013","2015","2017","2019","2021","2023"
"4",0.007,0.004,0.013,0.001,0.014,0.002,0.006,0,0.004,0,0.001,0,0,0.001,0,0
"5",0.005,0.058,0.007,0.001,0.006,0.072,0.008,0.003,0.022,0,0.003,0.006,0.002,0.003,0.004,0
"6",0.003,0.094,0.013,0.001,0.081,0.114,0.029,0.005,0.009,0.005,0.006,0.005,0.002,0.006,0.003,0.001
"7",0.001,0.194,0.004,0.056,0.074,0.011,0.06,0.021,0.026,0.004,0.007,0.004,0.068,0.008,0.021,0
"8",0.001,0.089,0.025,0.013,0.052,0.288,0.063,0.023,0.013,0.023,0.014,0.025,0.032,0.025,0.011,0.004
"9",0.007,0.119,0.049,0.047,0.188,0.073,0.038,0.116,0.022,0.018,0.022,0.041,0.079,0.085,0.029,0.031
"10",0.115,0.031,0.188,0.033,0.095,0.019,0.1,0.092,0.036,0.095,0.011,0.047,0.139,0.078,0.027,0.053
"11",0.134,0.032,0.111,0.113,0.093,0.064,0.089,0.046,0.067,0.092,0.023,0.039,0.064,0.125,0.075,0.046
"12",0.086,0.02,0.148,0.27,0.037,0.037,0.058,0.165,0.058,0.072,0.062,0.039,0.084,0.121,0.058,0.086
"13",0.113,0.048,0.045,0.121,0.066,0.035,0.15,0.126,0.051,0.119,0.108,0.047,0.074,0.059,0.038,0.085
"14",0.171,0.022,0.029,0.064,0.099,0.019,0.064,0.066,0.134,0.112,0.09,0.061,0.049,0.055,0.061,0.084
"15",0.139,0.039,0.033,0.025,0.061,0.044,0.034,0.061,0.059,0.066,0.134,0.096,0.036,0.041,0.051,0.059
"16",0.042,0.045,0.015,0.015,0.034,0.066,0.037,0.041,0.069,0.08,0.087,0.065,0.047,0.056,0.055,0.052
"17",0.015,0.042,0.018,0.001,0.013,0.033,0.034,0.009,0.074,0.04,0.058,0.071,0.057,0.054,0.019,0.03
"18",0.055,0.016,0.052,0.02,0.009,0.016,0.035,0.035,0.024,0.037,0.08,0.075,0.036,0.038,0.066,0.018
"19",0.035,0.015,0.041,0.025,0.007,0.02,0.055,0.036,0.024,0.039,0.066,0.044,0.036,0.046,0.053,0.018
"20",0.009,0.01,0.045,0.048,0.008,0.004,0.038,0.022,0.055,0.016,0.024,0.039,0.023,0.023,0.036,0.026
"21",0.02,0.011,0.019,0.04,0.005,0.015,0.019,0.021,0.032,0.022,0.029,0.037,0.03,0.04,0.075,0.029
"22",0.007,0.009,0.016,0.023,0.005,0,0.008,0.02,0.039,0.024,0.025,0.021,0.023,0.023,0.044,0.046
"23",0,0.009,0.023,0.02,0.015,0.008,0.003,0.01,0.074,0.031,0.016,0.019,0.011,0.005,0.035,0.058
"24",0.001,0.015,0.011,0.005,0.003,0.004,0.006,0.007,0.017,0.023,0.021,0.037,0.011,0.021,0.011,0.069
"25",0,0.009,0.015,0.007,0,0.009,0.009,0.011,0.015,0.021,0.029,0.014,0.005,0.017,0.036,0.02
"26",0,0.007,0.024,0,0.003,0.006,0.016,0.009,0.003,0.01,0.015,0.019,0.018,0.008,0.019,0.025
"27",0,0.003,0.011,0.011,0.004,0.012,0.005,0.002,0.007,0.015,0.02,0.016,0.013,0.008,0.019,0.04
"28",0,0.005,0.006,0,0.006,0.011,0.008,0.003,0,0.001,0.014,0.033,0.004,0.013,0.011,0.016
"29",0.001,0.003,0.017,0,0.002,0.009,0.007,0.004,0,0.007,0.008,0.024,0.007,0.001,0.011,0.009
"30+",0.032,0.051,0.026,0.039,0.019,0.01,0.023,0.046,0.065,0.029,0.028,0.076,0.049,0.04,0.132,0.094
"n_iss",94,445,554,174,676,195,461,489,495,427,434,471,429,403,440,326
"n_h",7,42,46,24,63,23,82,88,59,64,74,68,44,93,92,84
"n_ess",26,46,62,41,57,15,219,121,74,262,140,171,122,155,61,126
