year	biomass	se	lci	uci
1990	12987.34171	47.03910605017914	12895.14506214165	13079.538357858351
1993	35392.61851	75.18818500934837	35245.24966738168	35539.98735261832
1996	35191.04428	77.3732851377011	35039.39264113011	35342.6959188699
1999	33911.8716	79.18474889143742	33756.66949217278	34067.073707827214
2001	40392.75746	91.410608241057	40213.59266784753	40571.92225215247
2003	48716.30544	89.38312164497277	48541.11452157585	48891.49635842414
2005	73180.24959	104.36955413337742	72975.68526389859	73384.81391610143
2007	50734.45043	89.38913779649069	50559.24771991887	50909.65314008112
2009	40090.69174	80.87385019893637	39932.17899361008	40249.20448638992
2011	41442.037630000006	87.42259865732659	41270.68933663164	41613.38592336837
2013	59986.03256	103.58503526089085	59783.00589088866	60189.05922911134
2015	59471.196280000004	98.39189809633717	59278.348159731184	59664.044400268824
2017	61715.97017	103.63912789096597	61512.837479333706	61919.102860666295
2019	87687.75853	116.51557788553426	87459.38799734435	87916.12906265566
2021	69870.12973	110.09583611563156	69654.34189121336	70085.91756878664
2023	58538.174479999994	102.75098744051076	58336.782544616595	58739.56641538339
